Head_Q,RightShoulder_Q,RightArm_Q,RightForeArm_Q,RightHand_Q,LeftShoulder_Q,LeftArm_Q,LeftForeArm_Q,LeftHand_Q,Hip_Q,RightUpLeg_Q,RightLeg_Q,RightFoot_Q,LeftUpLeg_Q,LeftLeg_Q,LeftFoot_Q, ,Head_v,RightShoulder_v,RightArm_v,RightForeArm_v,RightHand_v,LeftShoulder_v,LeftArm_v,LeftForeArm_v,LeftHand_v,Hip_v,RightUpLeg_v,RightLeg_v,RightFoot_v,LeftUpLeg_v,LeftLeg_v,LeftFoot_v, ,Head_x,RightShoulder_x,RightArm_x,RightForeArm_x,RightHand_x,LeftShoulder_x,LeftArm_x,LeftForeArm_x,LeftHand_x,Hip_x,RightUpLeg_x,RightLeg_x,RightFoot_x,LeftUpLeg_x,LeftLeg_x,LeftFoot_x, ,Head_y,RightShoulder_y,RightArm_y,RightForeArm_y,RightHand_y,LeftShoulder_y,LeftArm_y,LeftForeArm_y,LeftHand_y,Hip_y,RightUpLeg_y,RightLeg_x,RightFoot_y,LeftUpLeg_y,LeftLeg_y,LeftFoot_y, ,Head_z,RightShoulder_z,RightArm_z,RightForeArm_z,RightHand_z,LeftShoulder_z,LeftArm_z,LeftForeArm_z,LeftHand_z,Hip_z,RightUpLeg_z,RightLeg_z,RightFoot_z,LeftUpLeg_z,LeftLeg_z,LeftFoot_z,,2.669724,8.133958,78.69479,3.188928,17.91806,11.56938,66.45325,30.71034,22.15244,162.0711,26.15682,19.45081,10.85394,19.5,22.62379,24.26328
3.283027,9.090729,76.94559,7.663811,16.56874,11.52858,69.74997,25.90787,17.22517,159.9425,21.19245,19.83838,5.13226,11.03984,62.28674,34.93551, ,0.274724,0.4997177,0.8982468,0.9338231,0.02789497,0.1374388,0.8541794,1.330406,0.6506996,0.2723083,0.9133739,0.1264439,0.1950045,0.3296728,7.426556,3.286736, ,-2.407684,-1.93692,-1.212067,-0.2739258,8.86734,-3.241669,-1.672424,19.03082,9.216488,-1.106903,-19.08347,19.29086,-0.7736206,-1.74527,61.10198,10.09637, ,2.105832,0.5585529,-12.8989,-7.606354,-0.944519,4.532251,19.01464,17.91046,7.038225,-159.9548,-6.196747,4.709431,-3.815552,-0.6079712,15.27637,13.74857, ,-0.7857971,-8.874298,-75.87735,0.9145616,13.90545,9.969225,67.12834,3.501315,-12.20743,1.563449,-5.919312,0.4980762,3.370857,-10.87527,12.23393,31.85403,,,,,,,,,,,,,,,,,
3.328727,9.212983,76.67167,8.087406,16.7608,11.41369,70.24481,25.47141,17.13389,159.7779,20.51145,19.68362,5.69529,11.22406,65.59815,33.60583, ,0.04569983,0.1222544,0.2739182,0.423595,0.1920662,0.1148872,0.4948425,0.4364586,0.09127617,0.1646423,0.6809998,0.1547585,0.5630298,0.1842194,3.311409,1.329674, ,-2.460815,-1.966095,-1.768158,-0.07473755,8.30963,-3.363556,-1.41571,19.21821,9.387182,-0.9183655,-18.31335,19.12741,-1.499542,-3.633453,64.1171,9.440608, ,2.09533,0.3820218,-13.77222,-8.009247,-1.142822,4.327119,18.00421,17.02581,6.730182,-159.7889,-5.997925,4.723382,-4.222443,-0.1811523,18.32998,12.78113, ,-0.8438416,-8.999725,-75.38165,1.125652,14.44125,9.889507,67.94987,3.67936,-12.13956,1.755787,-6.179474,0.4614493,3.572459,-10.6142,14.94731,30.79225,,,,,,,,,,,,,,,,,
3.289697,9.213408,76.59997,8.547953,17.07984,11.29632,70.73769,25.08604,17.21152,159.5626,19.83045,19.51423,6.259756,11.5997,68.61494,32.72555, ,0.03903031,0.000424385,0.07170105,0.4605465,0.3190346,0.1173697,0.4928741,0.385376,0.0776329,0.215271,0.6810017,0.1693897,0.5644665,0.3756428,3.016792,0.8802872, ,-2.400909,-2.061249,-2.276611,0.2289327,7.798641,-3.428162,-1.182526,19.38645,9.434648,-0.7415161,-17.53046,18.93726,-2.21933,-5.553986,67.04816,8.811927, ,2.078224,0.2560279,-14.53348,-8.421692,-1.28476,4.143955,16.73748,16.20186,6.423404,-159.5715,-5.982941,4.778106,-4.595886,-0.03665161,20.38655,12.56074, ,-0.9045715,-8.981415,-75.09824,1.430904,15.06588,9.814602,68.79855,3.853112,-12.38797,1.867812,-6.267578,0.3551504,3.716332,-10.18576,16.52594,29.98584,,,,,,,,,,,,,,,,,
3.163544,9.243464,76.4887,9.077101,17.50963,11.15406,71.24136,24.62844,17.39541,159.2904,19.17506,19.30923,6.709593,12.12945,71.40993,32.25154, ,0.1261532,0.03005695,0.1112671,0.5291481,0.4297924,0.1422586,0.5036774,0.4575939,0.1838913,0.272171,0.6553841,0.2049999,0.4498372,0.5297461,2.794991,0.4740028, ,-2.228424,-2.051117,-2.881622,0.5895756,7.381034,-3.458557,-0.9143677,19.4012,9.340003,-0.6035156,-16.75909,18.73786,-2.882507,-7.507996,69.9856,8.163875, ,2.044923,0.06434265,-15.08585,-8.87149,-1.340698,3.959265,15.38553,15.41208,6.144064,-159.2972,-6.109802,4.715739,-4.812042,-0.01773071,21.17132,13.02036, ,-0.9687805,-9.014435,-74.78271,1.785608,15.74638,9.722294,69.6471,4.007202,-12.85864,1.871297,-6.238373,0.2280438,3.806957,-9.532135,16.80087,29.3936,,,,,,,,,,,,,,,,,
2.961361,9.198088,76.46353,9.709565,17.98688,10.99729,71.80624,23.95974,17.62316,158.9619,18.49691,18.97787,6.994304,12.86881,73.91634,32.07347, ,0.2021828,0.04537678,0.02516937,0.6324644,0.4772511,0.1567707,0.5648727,0.6686993,0.2277431,0.3285522,0.6781559,0.331356,0.2847109,0.7393684,2.506409,0.1780777, ,-1.951935,-2.059723,-3.470123,0.9598723,7.058508,-3.451019,-0.5317688,19.11421,9.087415,-0.5145569,-15.95694,18.46763,-3.412292,-9.42868,72.76038,7.508546, ,1.994842,-0.1078186,-15.49606,-9.400085,-1.290527,3.777784,14.14147,14.64074,5.901214,-158.9671,-6.247986,4.407943,-4.843567,0.04679693,20.78675,13.79008, ,-1.025269,-8.962433,-74.57385,2.159842,16.42512,9.624771,70.51656,4.042013,-13.46048,1.775632,-6.184753,0.118796,3.866993,-8.771881,16.00801,28.98405,,,,,,,,,,,,,,,,,
2.705547,9.139123,76.44675,10.41421,18.50838,10.78716,72.47701,23.08291,17.87261,158.5743,17.76456,18.52298,7.285428,13.84611,76.15779,31.95755, ,0.2558143,0.05896473,0.01678467,0.7046442,0.5214977,0.2101383,0.6707764,0.876833,0.2494545,0.387558,0.7323456,0.4548893,0.2911234,0.9772959,2.241447,0.1159134, ,-1.598999,-2.076935,-4.0578,1.306861,6.807732,-3.416412,-0.02630615,18.5247,8.687543,-0.4744873,-15.06802,18.08769,-3.885834,-11.33542,75.22575,6.864075, ,1.92003,-0.2854004,-15.77176,-9.994019,-1.162933,3.579726,13.05834,13.91835,5.702833,-158.5786,-6.316132,4.032869,-4.891113,0.1276131,20.23573,14.34384, ,-1.065399,-8.890747,-74.39267,2.513193,17.11303,9.482193,71.44701,3.953775,-14.13583,1.609149,-6.227966,0.1748134,3.921988,-7.976074,15.1651,28.69261,,,,,,,,,,,,,,,,,
2.705547,9.127284,76.4645,10.41466,18.50519,10.78716,72.47831,23.08124,17.87252,158.5753,17.76416,18.52158,7.28446,13.8439,76.1571,31.95497, ,0,0.01183891,0.0177536,0.000450134,0.003185272,0,0.001296997,0.001670837,8.77E-05,0.001022339,0.000398636,0.001399994,0.000967503,0.002210617,0.000694275,0.00258255, ,-1.598999,-2.087738,-4.047241,1.305617,6.809621,-3.416412,-0.02670288,18.52364,8.68878,-0.4744873,-15.06604,18.08529,-3.881073,-11.33459,75.22602,6.865476, ,1.92003,-0.2779236,-15.7793,-9.994171,-1.161804,3.579726,13.0599,13.91705,5.701553,-158.5797,-6.319855,4.037523,-4.89386,0.1312358,20.22503,14.34381, ,-1.065399,-8.876434,-74.41122,2.515006,17.10897,9.482193,71.44805,3.952382,-14.13556,1.607685,-6.2276,0.1770316,3.92116,-7.973633,15.15892,28.68947,,,,,,,,,,,,,,,,,
2.433515,9.080897,76.42871,11.17576,19.03633,10.54621,73.20287,22.08775,18.11536,158.1414,16.92538,17.92346,7.589765,14.98836,78.05528,31.68728, ,0.2720318,0.04638672,0.03578949,0.7611008,0.5311317,0.2409496,0.724556,0.9934864,0.2428398,0.43396,0.8387794,0.5981255,0.305305,1.144458,1.898186,0.2676888, ,-1.205811,-2.096283,-4.642151,1.588109,6.629445,-3.369202,0.6061449,17.72819,8.156101,-0.4746704,-14.0444,17.56975,-4.313904,-13.18716,77.27162,6.21979, ,1.821159,-0.4539795,-15.97885,-10.65948,-0.9676819,3.375614,12.10401,13.28192,5.543178,-158.1453,-6.317017,3.592662,-4.966705,0.1462716,19.9288,14.48849, ,-1.092621,-8.816223,-74.21848,2.819495,17.7727,9.310286,72.39578,3.781367,-14.82617,1.397606,-6.322144,0.3203834,3.980559,-7.155121,14.63632,28.37984,,,,,,,,,,,,,,,,,
2.432228,9.079689,76.4305,11.17597,19.03513,10.55631,73.19242,22.08775,18.11536,158.1424,16.92371,17.92179,7.589765,14.98631,78.05463,31.6848, ,0.001286745,0.001208305,0.001792908,0.000210762,0.001199722,0.01010323,0.01044464,0,0,0.001022339,0.00166893,0.001667023,0,0.002041817,0.000656128,0.002477646, ,-1.206451,-2.096405,-4.641235,1.588326,6.629888,-3.365631,0.6038661,17.72819,8.156101,-0.4746704,-14.0423,17.56752,-4.313904,-13.18634,77.27195,6.220719, ,1.820047,-0.4527283,-15.98059,-10.65961,-0.9668579,3.381125,12.10028,13.28192,5.543178,-158.1463,-6.319153,3.595217,-4.966705,0.1498567,19.91664,14.49007, ,-1.09082,-8.815033,-74.22012,2.819528,17.77132,9.320816,72.38547,3.781367,-14.82617,1.396139,-6.320343,0.3206337,3.980559,-7.15271,14.62866,28.37617,,,,,,,,,,,,,,,,,
2.191145,9.019865,76.43874,11.96163,19.52257,10.30382,73.93835,21.0845,18.34071,157.6686,15.91558,17.21878,7.879496,16.25424,79.58321,30.98464, ,0.2410827,0.05982399,0.008239746,0.785655,0.487442,0.2524862,0.7459335,1.003254,0.2253456,0.4738159,1.008137,0.7030106,0.2897305,1.267923,1.528587,0.7001629, ,-0.8126831,-2.138794,-5.218353,1.790936,6.464017,-3.344513,1.368146,16.8551,7.487052,-0.5058289,-12.89032,16.95319,-4.688141,-14.96973,78.85657,5.561927, ,1.712819,-0.5916138,-16.18491,-11.36954,-0.7749023,3.169608,11.23593,12.74494,5.429923,-157.6723,-6.325073,3.051252,-5.035095,0.01177182,20.39758,14.19327, ,-1.111237,-8.732178,-74.06845,3.090478,18.37131,9.126716,73.32413,3.56569,-15.50497,1.172218,-6.217804,0.2551981,4.057373,-6.352814,14.88451,27.76015,,,,,,,,,,,,,,,,,
