Head_Q_w,RightShoulder_Q_w,RightArm_Q_w,RightForeArm_Q_w,RightHand_Q_w,LeftShoulder_Q_w,LeftArm_Q_w,LeftForeArm_Q_w,LeftHand_Q_w,Hip_Q_w,Spine_Q_w,RightUpLeg_Q_w,RightLeg_Q_w,RightFoot_Q_w,LeftUpLeg_Q_w,LeftLeg_Q_w,LeftFoot_Q_w,Head_Q_x,RightShoulder_Q_x,RightArm_Q_x,RightForeArm_Q_x,RightHand_Q_x,LeftShoulder_Q_x,LeftArm_Q_x,LeftForeArm_Q_x,LeftHand_Q_x,Hip_Q_x,Spine_Q_x,RightUpLeg_Q_x,RightLeg_Q_x,RightFoot_Q_x,LeftUpLeg_Q_x,LeftLeg_Q_x,LeftFoot_Q_x,Head_Q_y,RightShoulder_Q_y,RightArm_Q_y,RightForeArm_Q_y,RightHand_Q_y,LeftShoulder_Q_y,LeftArm_Q_y,LeftForeArm_Q_y,LeftHand_Q_y,Hip_Q_y,Spine_Q_y,RightUpLeg_Q_y,RightLeg_Q_y,RightFoot_Q_y,LeftUpLeg_Q_y,LeftLeg_Q_y,LeftFoot_Q_y,Head_Q_z,RightShoulder_Q_z,RightArm_Q_z,RightForeArm_Q_z,RightHand_Q_z,LeftShoulder_Q_z,LeftArm_Q_z,LeftForeArm_Q_z,LeftHand_Q_z,Hip_Q_z,Spine_Q_z,RightUpLeg_Q_z,RightLeg_Q_z,RightFoot_Q_z,LeftUpLeg_Q_z,LeftLeg_Q_z,LeftFoot_Q_z
0.9936897,0.9994386,0.694721,0.9975714,0.9669437,0.9992215,0.6583787,0.9947594,0.9844963,0.9511782,0.999438,0.9872893,0.9980827,0.9993034,0.9909616,0.9887106,0.9982819,-0.02534641,-0.003296437,0.1083806,0.05353958,0.2514415,-2.781398E-05,0.1207688,-0.0763922,0.112011,0.05718475,0.02786007,-0.1532222,0.05879778,0.01753293,-0.06035526,0.1280189,-0.007201645,-0.1085703,0.0006674437,-0.170452,0.006186158,0.008233769,0.03767773,0.1852968,-0.02403593,0.06190944,-0.3001802,0.004865632,-0.04163573,0.01881837,0.03249504,0.1051194,-0.02605314,-0.04845053,0.01228527,0.03333548,-0.690335,0.04411939,0.04158524,-0.0117006,0.7194564,-0.06356358,-0.1199491,0.04338005,-0.01799352,-0.0070161,-0.004435575,-0.005427309,-0.05746725,0.07337409,-0.03215601
0.9936986,0.9994779,0.6961179,0.998417,0.969864,0.9992569,0.6546437,0.9949435,0.9838911,0.9522285,0.999428,0.9885084,0.9984676,0.9992772,0.9901087,0.9845894,0.9983023,-0.02299921,-0.003064306,0.09803658,0.02220232,0.2338703,0.0006196225,0.1239945,-0.07376657,0.1099546,0.05510705,0.02775879,-0.1444372,0.05325676,0.01548296,-0.06879216,0.1505957,0.01841973,-0.1089348,9.934876E-06,-0.2099031,0.0009797512,-0.008921359,0.03626839,0.1921662,-0.01638402,0.06701144,-0.2972634,0.003124297,-0.04295389,0.01481676,0.03450945,0.1021393,-0.02988857,-0.04241135,0.01293647,0.0321627,-0.6795216,0.05166856,0.06774134,-0.01303535,0.7205132,-0.06616331,-0.1240077,0.04311134,-0.01906024,-0.01200134,-0.002586302,-0.003791462,-0.06723168,0.08373403,-0.0354199
0.9937212,0.9994925,0.6967151,0.9983768,0.9713588,0.9992687,0.6527535,0.994939,0.9828247,0.9526431,0.999421,0.9890065,0.9986142,0.9992575,0.9896989,0.9824039,0.9979767,-0.02152103,-0.002777983,0.08728805,0.01006799,0.2242475,0.001082855,0.1258056,-0.07300086,0.1114831,0.05398418,0.02763341,-0.1403828,0.05077524,0.01454536,-0.07291289,0.1619048,0.02910831,-0.1089619,-0.0001799502,-0.2263905,-0.00107956,-0.01559437,0.03568192,0.1955638,-0.01177963,0.07001822,-0.2961428,0.002326842,-0.0443134,0.01368466,0.03554753,0.1004799,-0.02862555,-0.04144199,0.01350071,0.03173533,-0.6750677,0.05604584,0.07701891,-0.01370263,0.7209998,-0.0680334,-0.1293234,0.04308402,-0.01971507,-0.01397218,-0.002079065,-0.003048539,-0.07129922,0.08860024,-0.03844378
0.9937415,0.9995129,0.6971361,0.9981359,0.9727607,0.9992773,0.6511213,0.9948983,0.9813156,0.9530507,0.9994109,0.9894796,0.9987459,0.9992371,0.9893106,0.9801453,0.9974964,-0.01988206,-0.002800535,0.07308636,0.00110659,0.215079,0.001315582,0.1275499,-0.07239278,0.1145646,0.05273227,0.02750355,-0.1363157,0.04835149,0.01369688,-0.07683668,0.173034,0.03863977,-0.1089939,-0.0004727068,-0.2403613,-0.003081576,-0.02108186,0.0352646,0.1985024,-0.006953249,0.07240514,-0.2950431,0.001488204,-0.04577412,0.0128849,0.03650246,0.0985985,-0.02559964,-0.04161299,0.01424655,0.03108023,-0.6714806,0.06094275,0.0838644,-0.01412708,0.721366,-0.0699172,-0.1365731,0.04316616,-0.02047377,-0.01590322,-0.001695698,-0.002280649,-0.07509406,0.09337563,-0.04214669
0.9937338,0.9995611,0.6966738,0.9973913,0.9732265,0.9992917,0.6484137,0.9947783,0.9780635,0.9538584,0.9993878,0.9904827,0.9990015,0.9991961,0.9885091,0.9754279,0.9964235,-0.01628283,-0.003182388,0.03762639,-0.008575559,0.2092274,0.001447882,0.1303487,-0.07067791,0.1185734,0.04978811,0.02739074,-0.1276058,0.04335345,0.01183806,-0.08379138,0.194533,0.05322182,-0.1094749,-0.001129812,-0.2639343,-0.008091703,-0.02540351,0.03440489,0.2033301,0.002944037,0.07705162,-0.2929264,-4.041294E-05,-0.04776616,0.01068981,0.03829172,0.09572136,-0.01845416,-0.04250613,0.01560086,0.02943039,-0.6660095,0.07121593,0.09169889,-0.01517575,0.7219598,-0.07356732,-0.1529554,0.04323641,-0.02176671,-0.0194703,-0.001484834,-0.0009988118,-0.08164642,0.1017681,-0.05000869
0.9937513,0.9995647,0.6933695,0.996505,0.9749919,0.9992828,0.6477566,0.9947419,0.976069,0.9548721,0.9993514,0.9912976,0.9992009,0.9990801,0.9875834,0.9706727,0.9956383,-0.01244135,-0.002792294,-0.003377169,-0.009410251,0.2003682,0.001361434,0.1309457,-0.06817108,0.1110844,0.04631226,0.02751943,-0.1194125,0.03927073,0.01028064,-0.08972439,0.2147729,0.05947556,-0.1096066,-0.0002746792,-0.2860885,-0.01449897,-0.03513847,0.03440812,0.2060875,0.01133259,0.08666231,-0.2902056,-0.002273371,-0.05062948,0.007102074,0.04162684,0.09587733,-0.01419963,-0.04404437,0.01702584,0.02936855,-0.6613477,0.0817252,0.08949155,-0.01575247,0.7216595,-0.07558305,-0.1656484,0.04307222,-0.02311459,-0.02250409,-0.002200371,0.000769507,-0.08623295,0.1070773,-0.05680851
0.9939061,0.9995579,0.6877234,0.9954289,0.9735397,0.9992663,0.6484786,0.9947332,0.9757205,0.9560386,0.9992964,0.992126,0.9993428,0.9989522,0.9866278,0.9668141,0.9951865,-0.009485025,-0.002979221,-0.04932976,-0.001149506,0.2086255,0.00117376,0.129174,-0.06800602,0.09172661,0.04244491,0.02809232,-0.1107717,0.0360252,0.008414635,-0.09426962,0.2308103,0.06177163,-0.1082715,0.0008396276,-0.3038432,-0.02238369,-0.04077817,0.03492029,0.2072773,0.01803704,0.1020319,-0.2870502,-0.005060373,-0.05283244,0.002651699,0.04490872,0.09954759,-0.01396991,-0.04784879,0.01838202,0.0295736,-0.6574818,0.09283847,0.0838638,-0.01568695,0.7209894,-0.07453624,-0.1707198,0.04231848,-0.02433229,-0.02498523,-0.003020701,0.002634209,-0.08814292,0.108637,-0.05914884
0.9939764,0.9995562,0.6838095,0.9947523,0.9726454,0.9992599,0.6487605,0.99466,0.9759621,0.9565946,0.9992657,0.9925682,0.9994023,0.998931,0.9861509,0.9653553,0.9950371,-0.007133611,-0.003318333,-0.07228766,0.003861666,0.2133223,0.001126165,0.127891,-0.06985521,0.07982174,0.04044874,0.02849494,-0.1061798,0.03440952,0.00742032,-0.0961832,0.2367633,0.06111538,-0.1077975,0.001253229,-0.3118756,-0.02683123,-0.0441993,0.03513223,0.207841,0.02082367,0.1106421,-0.2855728,-0.006455305,-0.05347977,0.001105395,0.0455029,0.1021572,-0.0141705,-0.04991752,0.01843332,0.02957644,-0.6556773,0.09865636,0.08062813,-0.01562281,0.7208023,-0.0730621,-0.1699554,0.04170104,-0.02478855,-0.02596531,-0.003134678,0.00336084,-0.08842601,0.1087722,-0.06061747
0.9940181,0.9995583,0.6792437,0.993992,0.9719911,0.9992505,0.6489024,0.9945158,0.9764799,0.9571276,0.9992325,0.9929928,0.9994581,0.9989362,0.9856454,0.9642258,0.9950032,-0.005450602,-0.003613597,-0.09463993,0.008810014,0.216364,0.001226707,0.1266569,-0.07308707,0.06777439,0.03851806,0.02887618,-0.1015954,0.0327673,0.006391959,-0.09812538,0.2413476,0.05914969,-0.1074148,0.00168183,-0.3194914,-0.03172945,-0.04809444,0.03540717,0.2085354,0.02331296,0.1186913,-0.2841325,-0.007940331,-0.05403978,-1.066602E-05,0.04548954,0.1049437,-0.01474784,-0.05111294,0.01898606,0.02945036,-0.6539087,0.1043822,0.07814629,-0.01559842,0.7206918,-0.07108498,-0.1667514,0.04113358,-0.02524851,-0.02689855,-0.003144771,0.004039866,-0.0886658,0.1086399,-0.06210756
0.9941645,0.999574,0.6687143,0.9923251,0.9714007,0.9992272,0.6490009,0.9952611,0.9777676,0.9578922,0.9991816,0.9938681,0.999572,0.9989817,0.9843802,0.963209,0.9951467,-0.002316123,-0.004634035,-0.1356062,0.01664576,0.2166333,0.001105851,0.1251383,-0.06731323,0.03068477,0.03545588,0.02944842,-0.09241832,0.02909404,0.004240913,-0.1027838,0.245332,0.0531209,-0.1062105,0.002338273,-0.3334847,-0.04298202,-0.05712845,0.0360505,0.2100827,0.01514167,0.1377649,-0.282129,-0.01059258,-0.05366508,-0.00144378,0.04462106,0.1113998,-0.01635921,-0.05077582,0.0187325,0.02872097,-0.6505536,0.114745,0.07865762,-0.01562245,0.720419,-0.06852046,-0.1550801,0.03985834,-0.02562745,-0.02837672,-0.002704459,0.005148042,-0.08956087,0.1085041,-0.06544508
