Head_Q,RightShoulder_Q,RightArm_Q,RightForeArm_Q,RightHand_Q,LeftShoulder_Q,LeftArm_Q,LeftForeArm_Q,LeftHand_Q,Hip_Q,RightUpLeg_Q,RightLeg_Q,RightFoot_Q,LeftUpLeg_Q,LeftLeg_Q,LeftFoot_Q, ,Head_v,RightShoulder_v,RightArm_v,RightForeArm_v,RightHand_v,LeftShoulder_v,LeftArm_v,LeftForeArm_v,LeftHand_v,Hip_v,RightUpLeg_v,RightLeg_v,RightFoot_v,LeftUpLeg_v,LeftLeg_v,LeftFoot_v, ,Head_x,RightShoulder_x,RightArm_x,RightForeArm_x,RightHand_x,LeftShoulder_x,LeftArm_x,LeftForeArm_x,LeftHand_x,Hip_x,RightUpLeg_x,RightLeg_x,RightFoot_x,LeftUpLeg_x,LeftLeg_x,LeftFoot_x, ,Head_y,RightShoulder_y,RightArm_y,RightForeArm_y,RightHand_y,LeftShoulder_y,LeftArm_y,LeftForeArm_y,LeftHand_y,Hip_y,RightUpLeg_y,RightLeg_x,RightFoot_y,LeftUpLeg_y,LeftLeg_y,LeftFoot_y, ,Head_z,RightShoulder_z,RightArm_z,RightForeArm_z,RightHand_z,LeftShoulder_z,LeftArm_z,LeftForeArm_z,LeftHand_z,Hip_z,RightUpLeg_z,RightLeg_z,RightFoot_z,LeftUpLeg_z,LeftLeg_z,LeftFoot_z,,,,,,,,,,,RightForeArm_x,RightForeArm_y,RightForeArm_z,RightForeArm_Q
2.653844,9.557702,74.80367,29.04732,19.69652,8.701823,84.96457,16.85138,19.71907,147.1404,17.64424,9.695432,15.65559,25.71171,32.16771,9.788177, ,0.1148612,0.1332502,0.2276382,0.3333607,0.01820183,0.0938673,0.2813416,0.08351517,0.180315,0.2942505,0.7347336,0.1154556,0.5883093,0.7848015,4.63863,0.681201, ,2.386314,-2.774902,-16.17841,7.779881,1.922891,-4.351593,16.10336,16.44529,9.311534,-6.719757,13.30853,9.595437,-13.26379,-25.35611,32.04654,-1.704865, ,0.3915164,-1.852386,-22.87534,-26.61618,-3.153748,0.1362623,-3.414154,3.3411,3.169724,-147.076,-10.00372,1.221733,-7.034851,-2.462341,-2.906616,1.623871, ,-1.085449,-8.913025,-66.87628,7.145829,19.2976,7.531059,83.17245,2.121881,-16.85611,-0.1067505,-7.185944,0.7742581,5.367263,-3.010834,-1.323395,9.477386,,,,,,,,,,,7.779881,-26.61618,7.145829,29.04732
2.78144,9.656882,74.64059,29.28252,19.72864,8.790325,85.22611,16.75583,19.55923,146.8374,18.29179,9.91687,16.28513,24.95433,27.61032,9.046839, ,0.1275961,0.09918022,0.1630707,0.2352009,0.03212166,0.08850193,0.2615433,0.09554672,0.1598358,0.3029938,0.6475525,0.2214384,0.6295404,0.7573872,4.557383,0.7413387, ,2.548447,-2.847656,-16.27612,7.963938,1.734639,-4.404846,16.42443,16.43692,9.696796,-6.96582,14.35884,9.856328,-13.91058,-24.5975,27.52042,-0.5513, ,0.3871083,-1.823578,-23.31137,-26.78555,-3.277557,0.08751743,-3.865448,2.841282,3.246495,-146.7749,-9.832458,0.9435057,-7.369324,-2.236908,-2.2966,2.275475, ,-1.036804,-9.001648,-66.46991,7.206554,19.3308,7.605116,83.29848,2.07055,-16.423,0.01014923,-7.075287,0.6436985,5.211143,-3.144806,-0.8737488,8.728274,,,,,,,,,,,7.963938,-26.78555,7.206554,29.28252
2.998921,9.913945,74.36301,29.48346,19.73063,8.92679,85.63913,16.52336,19.27646,146.1956,19.61549,10.6289,17.60339,23.39429,19.48592,7.577164, ,0.2174814,0.2570629,0.2775879,0.2009373,0.001993179,0.1364651,0.4130173,0.2324772,0.2827778,0.6417847,1.323702,0.7120275,1.318264,1.560032,8.124407,1.469675, ,2.821001,-2.935059,-16.47498,8.259589,1.495205,-4.416107,16.80915,16.35543,10.14587,-7.445496,16.38832,10.61757,-15.0892,-23.04578,19.24957,2.096004, ,0.3574778,-1.823853,-23.93896,-26.86685,-3.56958,-0.0201416,-4.298828,1.713659,3.611733,-146.1401,-9.446625,0.3069858,-8.382721,0.03535856,-3.065979,2.566029, ,-0.9442749,-9.24707,-65.80536,7.299216,19.30453,7.760652,83.56536,1.884296,-15.69461,0.2802724,-6.810455,0.4132283,4.808552,-4.057587,-0.8578186,6.862607,,,,,,,,,,,8.259589,-26.86685,7.299216,29.48346
3.040397,10.06037,74.34467,29.30737,19.60225,9.03436,85.90762,16.36393,19.17592,145.5088,21.25202,11.74265,18.70602,22.21787,13.80275,7.642318, ,0.04147601,0.1464224,0.01833344,0.1760864,0.1283817,0.1075697,0.268486,0.1594257,0.1005325,0.6868744,1.63653,1.113755,1.102625,1.176422,5.683167,0.06515408, ,2.859093,-2.937775,-16.80322,8.425155,1.566464,-4.389099,16.87527,16.28048,10.26293,-8.114685,18.48973,11.73482,-15.77136,-21.37326,12.8424,4.084427, ,0.3372088,-1.779541,-24.16135,-26.6257,-3.890198,-0.1130981,-4.35025,0.5029887,3.937876,-145.4615,-9.226349,-0.03897095,-9.720795,3.971632,-5.06427,0.5496449, ,-0.9699707,-9.411865,-65.54651,7.271234,19.09957,7.902061,83.81763,1.651549,-15.38818,0.600564,-6.790344,0.4241562,4.377763,-5.445404,-1.183411,6.45697,,,,,,,,,,,8.425155,-26.6257,7.271234,29.30737
2.928668,10.11769,74.45967,28.70741,19.48947,9.247617,85.85378,16.47752,19.33511,144.8532,22.55743,13.12512,19.25119,21.81677,10.44997,9.321544, ,0.1117294,0.05732536,0.1149979,0.5999699,0.1127853,0.2132568,0.05384064,0.1135902,0.1591892,0.6555634,1.305412,1.382465,0.5451698,0.401104,3.352779,1.679225, ,2.696577,-2.872589,-17.15421,8.408613,1.809298,-4.317902,16.64417,16.39031,10.25256,-8.495239,20.25955,13.11591,-15.55743,-20.49118,8.518368,6.383846, ,0.3884194,-1.654236,-24.0347,-26.0571,-4.045715,-0.1577759,-4.461487,-0.523468,3.884099,-144.8056,-8.867065,-0.04397583,-11.27969,6.304471,-5.968964,-2.27832, ,-1.065887,-9.519226,-65.58212,7.046793,18.91988,8.183989,83.78795,1.542798,-15.60715,0.714563,-6.420746,0.4854472,3.675795,-5.413849,-1.575897,6.277457,,,,,,,,,,,8.408613,-26.0571,7.046793,28.70741
2.860248,10.09389,74.56306,28.24576,19.44749,9.35653,85.75412,16.48119,19.36413,144.5832,23.03141,13.89939,19.45146,21.75525,10.08752,9.967395, ,0.06842017,0.02380657,0.1033936,0.4616489,0.04197311,0.1089134,0.09965515,0.003669739,0.02902031,0.2700195,0.473978,0.7742672,0.2002678,0.0615139,0.3624525,0.6458511, ,2.595612,-2.805786,-17.30035,8.323941,1.925418,-4.250885,16.47,16.39447,10.33267,-8.568115,21.03359,13.89201,-15.33517,-20.37811,7.405775,7.434606, ,0.4421812,-1.588348,-23.85391,-25.64102,-4.028992,-0.1713257,-4.516479,-0.7330627,3.600121,-144.5304,-8.53064,-0.01156616,-12.0448,6.71677,-6.721436,-2.755951, ,-1.107727,-9.527588,-65.71634,6.888238,18.86513,8.341744,83.71035,1.425983,-15.67953,0.6723591,-5.923676,0.4533308,2.900539,-5.082001,-1.846832,5.86915,,,,,,,,,,,8.323941,-25.64102,6.888238,28.24576
2.830814,10.08992,74.62112,27.68876,19.42111,9.421874,85.6899,16.38067,19.49185,144.3598,23.4249,14.71055,19.52805,21.57186,10.24318,10.12845, ,0.02943397,0.003961563,0.05805969,0.5569992,0.02638435,0.06534386,0.06421661,0.1005192,0.1277142,0.2233582,0.3934879,0.8111639,0.07659149,0.1833973,0.1556578,0.1610594, ,2.529229,-2.671448,-17.42307,8.230942,2.003778,-4.187347,16.3244,16.28786,10.44235,-8.606323,21.77195,14.70602,-14.85965,-20.33936,6.955265,7.974578, ,0.5190595,-1.575409,-23.55951,-25.13922,-3.945007,-0.1779175,-4.43573,-0.9613037,3.375911,-144.2996,-8.042297,-0.1212769,-12.81189,6.37782,-7.384003,-2.652496, ,-1.14975,-9.565979,-65.86185,6.684491,18.84624,8.446825,83.68855,1.327867,-15.82886,0.5907983,-5.204376,0.3300307,1.99649,-4.730103,-1.965393,5.477204,,,,,,,,,,,8.230942,-25.13922,6.684491,27.68876
3.02698,9.987817,74.82795,26.43257,19.42824,9.370171,85.77895,15.62195,19.99408,144.1224,24.22077,16.40697,19.33902,20.77304,10.23858,9.807773, ,0.1961663,0.102108,0.2068253,1.256187,0.007125854,0.05170345,0.08905029,0.7587185,0.5022278,0.2374268,0.7958679,1.696422,0.1890297,0.7988129,0.004592896,0.3206816, ,2.659837,-2.459045,-17.25824,8.000638,2.097523,-4.072815,16.13336,15.48773,10.7815,-8.688721,23.29984,16.38398,-13.0762,-20.25314,7.504564,8.179544, ,0.7057849,-1.588623,-22.65115,-23.99829,-3.634399,-0.1448059,-3.621124,-1.530029,3.23044,-144.0442,-6.565948,-0.8674927,-14.20944,3.557324,-6.825073,-2.417267, ,-1.244812,-9.516174,-66.56122,6.270322,18.90752,8.444488,83.96381,1.171804,-16.25085,0.3802909,-3.116699,-0.2723389,-0.5264587,-3.686279,-1.932037,4.677774,,,,,,,,,,,8.000638,-23.99829,6.270322,26.43257
3.465149,9.895749,74.9354,25.14381,19.2977,9.212388,86.02502,15.34624,20.00595,144.196,25.06644,18.39903,19.25258,19.64846,11.89912,9.150861, ,0.4381688,0.09206772,0.1074524,1.288761,0.130537,0.1577826,0.2460632,0.2757158,0.01187897,0.07359314,0.8456707,1.992062,0.08644104,1.124582,1.660541,0.6569118, ,2.985928,-2.335785,-16.29221,7.655846,2.226918,-4.022797,16.01777,15.21666,10.19013,-8.749969,24.64216,18.31373,-9.939911,-19.54364,11.44163,8.117229, ,0.9816887,-1.608826,-21.58673,-22.83682,-3.230713,0.03521055,-2.345581,-1.522308,3.09957,-144.1049,-4.741913,-1.705902,-15.86874,-1.404053,-2.941895,-2.934418, ,-1.433533,-9.448853,-67.51636,5.937747,18.83559,8.28808,84.45241,1.103292,-16.68597,0.2240734,-0.9411926,-0.844574,-3.38501,-1.253845,-1.760468,2.843763,,,,,,,,,,,7.655846,-22.83682,5.937747,25.14381
3.917494,9.87228,75.01675,23.56068,18.85638,9.387214,85.92041,14.36719,21.10338,144.5699,25.4702,21.08465,20.20824,18.65388,13.42524,12.76103, ,0.4523449,0.02346897,0.08135223,1.583132,0.4413147,0.1748257,0.1046066,0.9790478,1.097424,0.3738861,0.4037666,2.685616,0.9556599,0.9945869,1.526115,3.610173, ,3.280464,-2.433868,-14.76144,6.985473,2.558199,-4.1315,15.75746,14.11189,10.52802,-8.673035,25.30641,20.95521,-5.376007,-18.08789,12.79343,10.46934, ,1.37483,-1.308472,-21.03693,-21.47842,-2.935028,0.2228917,-1.17627,-2.298401,4.288173,-144.4714,-2.500946,-2.313995,-18.10522,-4.634857,3.635006,-3.14267, ,-1.603546,-9.450836,-68.39978,5.595754,18.38825,8.420074,84.57195,1.166892,-17.41974,0.08704488,1.024522,-1.0047,-6.431335,0.9237412,-1.486847,6.315337,,,,,,,,,,,6.985473,-21.47842,5.595754,23.56068
