Head,RightShoulder,RightArm,RightForeArm,RightHand,LeftShoulder,LeftArm,LeftForeArm,LeftHand,Hip,RightUpLeg,RightLeg,RightFoot,LeftUpLeg,LeftLeg,LeftFoot
18.30382,3.733109,71.76269,83.68044,34.84397,10.09777,54.38926,113.4652,19.27768,13.43418,47.14689,89.3856,14.0018,15.53209,20.508,16.44145
18.9666,3.728073,72.1435,84.20624,34.94866,9.827807,54.17555,113.7464,19.54117,13.37964,47.23177,83.60377,14.78792,15.88229,19.4935,24.71866
19.6825,3.682013,72.52103,84.63165,36.01935,9.90406,54.173,113.8263,19.6986,13.35699,46.89075,77.52506,15.43097,16.29231,19.17314,23.68371
20.37265,3.569309,72.78082,85.03437,36.11982,10.41549,54.11735,113.7622,20.10261,13.42296,46.33494,71.31837,15.8858,16.56352,19.97739,22.92071
20.98886,3.894848,72.55748,85.45649,36.22322,10.91394,55.61527,112.1966,20.59686,13.42296,45.25551,65.50653,16.11908,17.07758,22.05243,29.96034
21.5828,4.470042,71.74596,85.80662,36.33989,11.14324,57.13927,110.4606,20.7473,13.42296,43.95439,59.73885,15.99795,17.55284,25.03998,39.05386
22.23318,4.722641,70.41535,85.93727,36.45132,11.04388,57.31091,109.8667,21.04586,13.59687,43.15619,53.66985,16.09841,17.2824,28.48536,39.25702
22.83561,4.965717,69.16921,85.85468,36.55841,10.48501,57.85912,109.0948,21.34711,13.83953,42.26854,47.18114,16.72562,16.80064,32.26118,38.19635
23.41931,5.165712,67.96947,85.58176,36.65226,9.720373,57.20644,113.3031,20.57859,13.98796,42.35825,41.07071,18.97223,16.08001,35.42476,37.39289
23.94029,5.399158,66.75316,85.2207,36.75236,8.540985,58.13705,114.8681,20.26915,13.76951,40.0862,33.40993,19.9853,16.12254,39.3782,35.61614
24.44329,5.718066,65.59417,84.80116,36.86937,7.450303,58.95298,114.1561,20.61401,13.60599,37.92826,26.97799,17.48597,15.85582,42.57929,34.77576
24.95164,6.049572,64.65688,84.39384,37.03296,6.591249,59.21924,113.341,20.90349,13.42308,35.98396,20.52736,15.3673,15.62693,46.81458,33.0451
25.19152,6.60051,63.91034,83.54847,37.47984,6.239959,58.06774,106.6187,21.9352,12.85772,32.78823,12.36126,19.28176,16.46212,54.64551,31.74767
25.82548,6.754381,64.08067,83.13673,36.31699,6.42008,57.35474,105.7858,21.75782,12.53602,31.31094,10.68832,23.36423,16.21365,58.62933,30.69594
26.50152,7.26314,64.27032,82.7971,35.09449,7.106828,56.84049,104.7301,21.47514,12.05227,29.23111,8.062281,23.52649,16.03081,62.7132,30.73055
26.43639,7.558017,64.58881,82.53001,35.21858,7.558017,56.64756,104.0244,21.29516,11.65338,27.76006,3.206553,24.31101,13.4298,68.56749,30.94168
26.52464,7.874524,65.03298,82.35165,35.39053,8.370142,56.76704,102.4882,21.22174,11.0311,27.49108,4.552474,24.70688,13.35035,73.57281,31.23968
26.71313,8.402462,65.45477,82.17947,38.37794,9.394139,56.17223,99.92063,21.28892,10.17262,27.01609,7.21467,24.0617,13.5321,74.8303,34.50313
26.93612,9.341947,65.72366,82.02746,38.21428,10.50958,55.76291,97.2539,21.46678,9.079344,27.34089,9.430685,22.64676,13.81275,76.22517,37.60524
27.1269,11.12754,65.72703,81.88972,37.93395,11.33111,56.43573,95.31544,21.73588,7.917874,27.81254,12.65773,23.49867,14.13083,81.56393,37.11413
27.32973,13.54757,65.66987,81.82073,37.63383,12.09883,57.05346,93.23201,22.0263,6.627388,27.55279,15.25152,19.93355,14.62161,86.70554,36.25336
27.42621,15.46604,66.18511,81.76764,37.32804,13.27245,59.39849,95.68058,23.31705,4.984129,25.98661,17.62075,15.14082,14.62805,97.9629,29.21002
27.64139,16.97867,66.44458,81.66916,36.94231,14.21758,59.63242,96.3903,24.98207,3.145678,24.79942,21.03165,12.88398,15.62577,101.7038,28.26898
