Head_Q,RightShoulder_Q,RightArm_Q,RightForeArm_Q,RightHand_Q,LeftShoulder_Q,LeftArm_Q,LeftForeArm_Q,LeftHand_Q,Hip_Q,RightUpLeg_Q,RightLeg_Q,RightFoot_Q,LeftUpLeg_Q,LeftLeg_Q,LeftFoot_Q, ,Head_v,RightShoulder_v,RightArm_v,RightForeArm_v,RightHand_v,LeftShoulder_v,LeftArm_v,LeftForeArm_v,LeftHand_v,Hip_v,RightUpLeg_v,RightLeg_v,RightFoot_v,LeftUpLeg_v,LeftLeg_v,LeftFoot_v, ,Head_x,RightShoulder_x,RightArm_x,RightForeArm_x,RightHand_x,LeftShoulder_x,LeftArm_x,LeftForeArm_x,LeftHand_x,Hip_x,RightUpLeg_x,RightLeg_x,RightFoot_x,LeftUpLeg_x,LeftLeg_x,LeftFoot_x, ,Head_y,RightShoulder_y,RightArm_y,RightForeArm_y,RightHand_y,LeftShoulder_y,LeftArm_y,LeftForeArm_y,LeftHand_y,Hip_y,RightUpLeg_y,RightLeg_x,RightFoot_y,LeftUpLeg_y,LeftLeg_y,LeftFoot_y, ,Head_z,RightShoulder_z,RightArm_z,RightForeArm_z,RightHand_z,LeftShoulder_z,LeftArm_z,LeftForeArm_z,LeftHand_z,Hip_z,RightUpLeg_z,RightLeg_z,RightFoot_z,LeftUpLeg_z,LeftLeg_z,LeftFoot_z
125.1342,89.12669,79.05788,110.9161,115.3339,167.056,168.1088,123.8652,122.5226,2.478137,114.3987,158.1017,100.373,109.0991,139.0272,100.9357, ,0.07169342,0.1712494,0.2960815,0.117897,0.04356384,0.01939392,0.1900177,0.1194,0.09528351,0.1115165,1.171288,1.113678,0.2121429,0.6440735,0.3768005,0.1793671, ,1.109151,-18.08496,-13.45874,8.564427,-1.222992,18.08487,6.83967,-8.056335,-7.716583,-1.21283,1.813027,1.695454,-0.691925,-1.077087,-5.156921,-0.03994751, ,-0.5163879,-89.66513,-77.63242,0.438934,-9.657196,90.33821,80.22295,-0.3157654,-3.195923,-88.27362,-176.7808,0.08781094,-0.9570618,-176.0908,-1.648499,0.7315652, ,10.42807,-2.434326,-14.20306,-8.332245,0.2888736,2.435366,-1.056549,-0.9858704,-0.02651978,-88.94061,-8.29834,60.71561,-38.2883,-14.24255,26.75624,-39.74182
125.0567,89.31194,79.38,111.0498,115.3811,167.077,167.8995,123.7295,122.6256,2.361029,113.1504,159.308,100.6045,109.8037,138.6203,100.7432, ,0.07746887,0.1852493,0.322113,0.133667,0.04712677,0.02101135,0.2093506,0.135704,0.1030273,0.1171079,1.248322,1.206238,0.2315521,0.7045517,0.4069061,0.1924896, ,1.240849,-18.08493,-13.30246,8.555635,-1.288116,18.08489,7.094295,-8.066162,-7.85672,-1.19632,1.998691,1.622966,-0.7311096,-1.065063,-5.164063,-0.01293945, ,-0.510498,-89.66443,-77.74661,0.4421728,-9.650085,90.33752,80.18587,-0.3312378,-3.163513,-88.42947,-176.7094,0.001111525,-0.9726563,-176.0417,-1.640869,0.7471952, ,10.42688,-2.244263,-13.80194,-8.082092,0.300428,2.244877,-1.441711,-1.205994,-0.02539063,-88.94147,-10.5744,62.40116,-37.73135,-12.91156,26.1349,-40.2496
124.9861,89.47962,79.67557,111.1752,115.4244,167.096,167.7065,123.6016,122.719,2.257998,112.0953,160.287,100.7886,110.4545,138.2301,100.5768, ,0.07064819,0.1676865,0.2955704,0.1254883,0.04330444,0.01904297,0.1930237,0.1278992,0.09335327,0.1030309,1.055077,0.9789734,0.1840363,0.6508102,0.390213,0.1663971, ,1.361047,-18.0849,-13.15845,8.548577,-1.347839,18.08491,7.325376,-8.075165,-7.983704,-1.180054,2.160702,1.564483,-0.765686,-1.053284,-5.171173,0.008249561, ,-0.505127,-89.66382,-77.85303,0.4444779,-9.643402,90.33688,80.14651,-0.3450012,-3.134338,-88.57132,-176.6554,-0.07229614,-0.9891663,-175.997,-1.634827,0.7614151, ,10.42582,-2.072205,-13.43445,-7.845673,0.3110252,2.072431,-1.795593,-1.414185,-0.02438354,-88.94217,-12.5311,63.76559,-37.28778,-11.69711,25.53853,-40.69626
124.8938,89.68212,80.06403,111.3185,115.4844,167.1193,167.4687,123.4516,122.8323,2.1244,111.5564,160.0371,100.6678,111.3245,137.4802,100.458, ,0.09230042,0.2024994,0.3884659,0.1432419,0.06002808,0.02326965,0.2377625,0.1500473,0.1132889,0.1335986,0.5389328,0.2498627,0.1208115,0.8699646,0.7498322,0.1187973, ,1.518166,-18.0849,-12.94547,8.552082,-1.42926,18.08492,7.621704,-8.086365,-8.138184,-1.144592,2.245238,1.545637,-0.7980957,-1.01532,-5.188446,-0.008544922, ,-0.4980774,-89.66342,-77.97598,0.4480093,-9.632782,90.3365,80.10782,-0.3598938,-3.100677,-88.75241,-176.6759,-0.08331299,-1.039825,-175.9354,-1.63681,0.7815962, ,10.42445,-1.864441,-12.95126,-7.565796,0.3256817,1.864408,-2.261932,-1.660492,-0.02197266,-88.94272,-13.59747,63.39056,-37.51141,-10.11172,24.39499,-41.07254
124.7954,89.89819,80.48111,111.4789,115.5485,167.1441,167.2102,123.2835,122.9532,1.99088,110.9868,159.7708,100.5391,112.2644,136.6835,100.332, ,0.09841156,0.2160645,0.4170761,0.1604004,0.06406403,0.02487183,0.2584534,0.1680222,0.1208801,0.1335201,0.5695496,0.2663269,0.1286926,0.9399261,0.7967377,0.1259842, ,1.685822,-18.0849,-12.71875,8.555709,-1.516174,18.08492,7.936511,-8.098419,-8.303009,-1.106781,2.335101,1.525258,-0.8329163,-0.9768677,-5.207214,-0.02630615, ,-0.4906006,-89.66296,-78.11115,0.4504307,-9.62146,90.33607,80.05592,-0.3753357,-3.064789,-88.94562,-176.6993,-0.0949707,-1.093842,-175.869,-1.637573,0.8029914, ,10.423,-1.642731,-12.43439,-7.251587,0.3412715,1.642437,-2.76297,-1.937286,-0.01959229,-88.94333,-14.73541,62.99044,-37.74997,-8.420166,23.17466,-41.47412
124.6688,90.17632,81.02178,111.6971,115.631,167.1762,166.8701,123.0551,123.1087,1.834985,110.2622,159.4283,100.3738,113.4913,135.6633,100.1711, ,0.1265335,0.2781296,0.5406723,0.2182083,0.08248138,0.03208923,0.3400879,0.2284317,0.1555786,0.1558945,0.7245789,0.3424377,0.1652374,1.226898,1.020172,0.1609192, ,1.901621,-18.0849,-12.4277,8.560168,-1.627991,18.08493,8.339394,-8.114044,-8.515167,-1.058105,2.450111,1.49871,-0.8780518,-0.9305725,-5.231842,-0.04898071, ,-0.4809265,-89.66241,-78.2912,0.4513136,-9.606934,90.33551,79.9726,-0.3943176,-3.018555,-89.19434,-176.7317,-0.1096802,-1.1633,-175.7827,-1.636505,0.8302901, ,10.42117,-1.357391,-11.76706,-6.823151,0.3612993,1.35674,-3.413361,-2.315369,-0.01681519,-88.94421,-16.2001,62.47545,-38.05695,-6.243195,21.60387,-41.99094
124.5719,90.39077,81.48797,111.8924,115.7401,167.2013,166.5911,122.8777,123.239,1.725962,109.6748,159.3236,100.2223,114.0631,135.5433,100.0527, ,0.09690857,0.2144547,0.4661865,0.1952744,0.1091232,0.02502441,0.2790833,0.1773911,0.1302185,0.1090232,0.5873947,0.1047516,0.1514893,0.5718155,0.1200104,0.1183167, ,2.067027,-18.0849,-12.14465,8.536989,-1.775757,18.08493,8.677524,-8.137268,-8.69458,-1.021759,2.560153,1.5168,-0.8856506,-0.9472351,-5.217102,-0.01211548, ,-0.4735413,-89.66235,-78.43341,0.4574276,-9.588226,90.33543,79.9081,-0.4072571,-2.983673,-89.4028,-176.8182,-0.107666,-1.171875,-175.8385,-1.627777,0.850959, ,10.41979,-1.13736,-11.19012,-6.47467,0.3882542,1.136668,-3.978699,-2.622284,-0.01290894,-88.94495,-17.49161,62.34255,-38.41589,-5.303558,21.42991,-42.3204
124.4858,90.58157,81.90876,112.0739,115.8406,167.2236,166.3376,122.7137,123.3556,1.646114,109.1568,159.2422,100.0864,114.5456,135.486,99.94852, ,0.08609009,0.1907959,0.4207916,0.1815262,0.1004791,0.02230835,0.2534637,0.1639938,0.1166077,0.07984769,0.5180054,0.08132935,0.1359329,0.4825058,0.05732727,0.1042328, ,2.214116,-18.0849,-11.88849,8.514216,-1.911835,18.08493,8.979039,-8.158844,-8.855377,-0.9895325,2.657832,1.535795,-0.8903809,-0.9650269,-5.201416,0.02483334, ,-0.46698,-89.66232,-78.56207,0.4613242,-9.571106,90.3354,79.84147,-0.4178772,-2.952667,-89.58954,-176.9022,-0.1048584,-1.176117,-175.8975,-1.619537,0.8692268, ,10.41858,-0.9415894,-10.67157,-6.150909,0.413,0.940877,-4.489624,-2.907806,-0.009521484,-88.94562,-18.65292,62.24401,-38.74435,-4.522583,21.35241,-42.60837
124.4042,90.76257,82.31017,112.2517,115.9359,167.2448,166.0934,122.5522,123.4662,1.587538,108.6719,159.1651,99.95806,115.0052,135.4316,99.85023, ,0.081604,0.1809998,0.4014053,0.1778336,0.09535217,0.02120972,0.2441864,0.1615219,0.1106186,0.05857623,0.4849319,0.07711792,0.1283493,0.4596252,0.05435181,0.09828949, ,2.353649,-18.0849,-11.64563,8.492492,-2.040924,18.08493,9.263593,-8.179382,-9.007904,-0.9589844,2.74876,1.553807,-0.8948975,-0.9811401,-5.186523,0.05994522, ,-0.4607544,-89.66226,-78.68613,0.4630601,-9.554901,90.33536,79.76936,-0.4270935,-2.923279,-89.76663,-176.984,-0.1022034,-1.180176,-175.9537,-1.611755,0.8864852, ,10.41747,-0.7558899,-10.17911,-5.831696,0.4364029,0.7551607,-4.977386,-3.18985,-0.006439209,-88.94623,-19.75476,62.15056,-39.05591,-3.781769,21.27892,-42.8815
124.3097,90.97242,82.78521,112.4635,116.0491,167.2695,165.8047,122.358,123.5945,1.539988,108.1341,159.0321,99.82635,115.5459,135.3532,99.74741, ,0.0945282,0.2098541,0.4750443,0.211792,0.1132431,0.02468872,0.2887115,0.1942062,0.1283417,0.0475502,0.5377808,0.1330414,0.1317139,0.5406647,0.07841492,0.1028137, ,2.51539,-18.0849,-11.35568,8.469561,-2.193085,18.08492,9.594418,-8.203705,-9.185303,-0.9196167,2.846178,1.574564,-0.8989258,-0.9985352,-5.171295,0.09717659, ,-0.4535217,-89.66229,-78.8317,0.4628646,-9.534698,90.3354,79.67603,-0.4366455,-2.890076,-89.97195,-177.0872,-0.09658813,-1.184631,-176.0179,-1.603363,0.906242, ,10.41618,-0.5406189,-9.598633,-5.447266,0.4641689,0.5399085,-5.553741,-3.530701,-0.002593994,-88.94684,-21.00327,61.97875,-39.37585,-2.912811,21.1687,-43.17267
