Head_Q,RightShoulder_Q,RightArm_Q,RightForeArm_Q,RightHand_Q,LeftShoulder_Q,LeftArm_Q,LeftForeArm_Q,LeftHand_Q,Hip_Q,RightUpLeg_Q,RightLeg_Q,RightFoot_Q,LeftUpLeg_Q,LeftLeg_Q,LeftFoot_Q, ,Head_x,RightShoulder_x,RightArm_x,RightForeArm_x,RightHand_x,LeftShoulder_x,LeftArm_x,LeftForeArm_x,LeftHand_x,Hip_x,RightUpLeg_x,RightLeg_x,RightFoot_x,LeftUpLeg_x,LeftLeg_x,LeftFoot_x, ,Head_y,RightShoulder_y,RightArm_y,RightForeArm_y,RightHand_y,LeftShoulder_y,LeftArm_y,LeftForeArm_y,LeftHand_y,Hip_y,RightUpLeg_y,RightLeg_x,RightFoot_y,LeftUpLeg_y,LeftLeg_y,LeftFoot_y, ,Head_z,RightShoulder_z,RightArm_z,RightForeArm_z,RightHand_z,LeftShoulder_z,LeftArm_z,LeftForeArm_z,LeftHand_z,Hip_z,RightUpLeg_z,RightLeg_z,RightFoot_z,LeftUpLeg_z,LeftLeg_z,LeftFoot_z
7.258934,10.08822,72.36987,43.25431,14.10437,7.372629,88.47025,7.316537,16.58153,35.73906,25.74748,12.8565,18.69303,17.00632,9.298736,7.013649, ,-6.670624,357.2548,339.3646,7.12937,1.729801,358.6609,28.06493,6.819218,355.0345,351.0982,25.03673,12.35502,345.4681,343.0428,5.733449,5.538998, ,359.4882,0.09557581,334.8906,321.7537,354.9944,0.02134481,351.3679,357.3481,1.688107,34.48426,354.6931,3.575973,348.3923,359.2954,352.7934,356.6469, ,2.848363,350.2898,298.8788,17.01299,13.00167,7.249979,82.29236,0.01635236,344.1908,1.62745,355.6725,0.1536666,358.9392,1.199127,358.2834,2.541699
7.370929,9.990955,72.24306,45.95475,14.95192,7.630728,88.17302,6.940011,16.65493,35.62802,26.49061,15.58699,18.59782,17.09735,9.645679,9.299326, ,-6.899658,357.2514,343.0721,7.841173,1.630543,358.6418,27.18632,6.527113,355.0908,351.0479,26.13858,15.24206,347.4821,343.6218,8.371604,6.74311, ,359.6992,359.963,337.4315,319.3566,354.0865,0.3110687,351.315,357.6451,1.694201,34.39293,355.8116,3.211488,346.972,355.7169,355.7208,353.7822, ,2.59574,350.3946,296.0926,17.77671,13.55838,7.49902,82.26411,0.06354868,344.0972,1.318137,357.5242,359.675,356.7066,3.122426,357.499,1.224168
7.528424,10.09055,72.1844,46.01657,15.36669,7.926476,87.86435,6.760755,16.70132,35.62802,26.69511,17.23884,18.45602,17.35404,9.653556,13.57273, ,-7.091125,357.0559,344.3528,7.829852,1.69212,358.4879,26.7196,6.439184,355.0832,351.0479,26.47218,16.96306,349.0499,344.1207,9.421038,10.44715, ,359.704,359.9055,338.1875,319.2498,353.6118,0.209776,351.5223,357.9458,1.817689,34.39293,356.4599,2.905949,346.3075,353.5513,359.3308,352.0494, ,2.531146,350.3503,295.3076,17.70391,13.78685,7.775617,82.16057,0.09109656,344.0588,1.318137,358.6873,359.3176,355.3345,3.826152,357.9448,2.824647
7.529777,10.09808,72.1832,46.01536,15.36398,7.921731,87.86454,6.760755,16.70104,35.58508,26.69866,17.24049,18.45845,17.35372,9.6581,13.57632, ,-7.093048,357.0571,344.3506,7.827277,1.693281,358.4814,26.7266,6.439184,355.0793,351.1001,26.47401,16.96451,349.047,344.1217,9.425122,10.44231, ,359.711,359.8991,338.1884,319.2497,353.6129,0.2013244,351.5229,357.9458,1.823764,34.38392,356.4472,2.906993,346.3066,353.545,359.3424,352.0403, ,2.530297,350.3423,295.3094,17.70278,13.78411,7.769818,82.1586,0.09109656,344.0607,1.124245,358.6748,359.3168,355.3347,3.816535,357.9389,2.832139
7.691865,10.10607,72.2282,45.85096,15.75517,7.98241,87.74067,6.454628,16.72364,35.69286,27.02533,19.18539,18.5856,16.67657,10.48628,14.63105, ,-7.275513,357.05,345.5215,7.796415,1.855626,358.4522,26.20163,6.23324,355.0963,350.8844,26.88985,18.97578,351.1515,344.8596,10.31026,11.33497, ,359.7623,0.09557013,338.8932,319.2846,353.1014,0.1174783,352.1657,358.3348,2.014605,34.46549,357.2255,2.612185,345.2599,353.636,0.9549575,352.2968, ,2.501904,350.331,294.5228,17.41241,13.94032,7.828726,82.40179,0.13153,344.0466,0.8749856,359.7653,359.2359,353.9366,3.91038,358.4229,4.445217
7.688301,10.12025,72.22743,45.84973,15.75662,7.970527,87.7407,6.459843,16.72153,35.70153,27.02688,19.1881,18.58658,16.6785,10.49398,14.63529, ,-7.274506,357.0529,345.5228,7.793299,1.858753,358.4505,26.20117,6.23719,355.0896,350.8817,26.89053,18.97856,351.1504,344.8589,10.31595,11.32658, ,359.7634,0.08460384,338.8916,319.2844,353.1006,0.1027122,352.1618,358.3292,2.023741,34.47272,357.2145,2.611755,345.2587,353.6273,0.9674679,352.2866, ,2.493774,350.3154,294.5237,17.41134,13.94099,7.816678,82.40079,0.1276616,344.0515,0.8849523,359.753,359.2357,353.9381,3.900752,358.4183,4.460012
7.850713,10.03111,72.40432,45.48072,16.13782,7.99447,87.6992,5.978219,16.72806,35.83707,27.12311,21.3307,18.70724,16.40879,12.3982,15.62371, ,-7.452393,357.0343,346.6335,7.772136,2.103703,358.4254,25.61109,5.853805,355.1344,350.711,27.04482,21.23352,353.9229,344.59,12.35074,11.44589, ,359.8083,0.3089439,339.7788,319.4567,352.568,0.0978435,353.0535,358.7997,2.244416,34.59778,358.5607,1.636392,344.4341,354.5472,1.091634,350.1401, ,2.476031,350.4132,293.5902,16.91949,14.04434,7.83626,82.81226,0.1304435,344.0518,0.589528,1.193385,359.0414,352.3369,2.407691,0.1564925,3.165517
7.976028,10.0415,72.55657,44.922,16.53467,8.01111,87.68648,5.425631,16.69012,35.91475,27.23883,23.60116,19.57017,16.70917,14.664,14.16039, ,-7.59317,356.925,347.7918,7.771807,2.401091,358.2809,25.03201,5.38143,355.2015,350.5905,27.05079,23.53809,357.1365,344.8044,14.57425,10.63405, ,359.8409,0.2841622,341.0062,319.794,352.0579,0.1460521,354.0428,359.3195,2.467684,34.67707,0.2838077,0.6244933,343.406,353.3002,1.623742,351.0842, ,2.448678,350.4364,292.5974,16.30946,14.14929,7.821273,83.25706,0.09646485,344.0965,0.2609901,3.281984,358.504,350.3984,3.014704,359.9923,2.152206
8.067138,10.01954,72.78614,44.20768,16.94621,8.02391,87.66428,4.873092,16.58826,35.93035,27.20565,26.03653,21.21517,17.63657,16.73679,12.2865, ,-7.684082,356.8112,348.9854,7.788825,2.698131,358.1541,24.36283,4.872031,355.3103,350.576,26.6891,25.95639,1.204628,345.3467,16.36446,9.196167, ,359.8345,0.1503798,342.4066,320.2706,351.6227,0.2989483,355.0584,359.9154,2.680851,34.71902,1.989779,359.7375,342.2874,350.7338,3.287548,351.9789, ,2.463884,350.4971,291.5263,15.60689,14.30003,7.798477,83.70078,0.06251175,344.1998,359.9115,5.433934,357.8963,348.149,4.721868,359.1215,0.9708238
8.162606,9.932425,73.16216,43.35688,17.35621,8.035225,87.58548,4.350577,16.46379,35.9068,26.68049,28.7861,24.66557,18.5655,18.87293,11.23599, ,-7.763763,356.7061,350.1597,7.794193,3.003537,358.1146,23.50992,4.305724,355.45,350.7123,25.75591,28.71717,6.107563,345.2036,18.22886,7.184569, ,359.7541,359.9679,343.8142,320.8434,351.3452,0.454298,356.1081,0.6232733,2.889795,34.75451,3.254807,359.8306,339.9196,349.4248,4.759063,351.3825, ,2.527143,350.6293,290.3859,14.77745,14.53219,7.790638,84.11507,0.04092836,344.3224,359.5843,7.012239,357.9509,345.8286,5.445217,359.337,0.3306223
