Head_Q_w,RightShoulder_Q_w,RightArm_Q_w,RightForeArm_Q_w,RightHand_Q_w,LeftShoulder_Q_w,LeftArm_Q_w,LeftForeArm_Q_w,LeftHand_Q_w,Hip_Q_w,Spine_Q_w,RightUpLeg_Q_w,RightLeg_Q_w,RightFoot_Q_w,LeftUpLeg_Q_w,LeftLeg_Q_w,LeftFoot_Q_w,Head_Q_x,RightShoulder_Q_x,RightArm_Q_x,RightForeArm_Q_x,RightHand_Q_x,LeftShoulder_Q_x,LeftArm_Q_x,LeftForeArm_Q_x,LeftHand_Q_x,Hip_Q_x,Spine_Q_x,RightUpLeg_Q_x,RightLeg_Q_x,RightFoot_Q_x,LeftUpLeg_Q_x,LeftLeg_Q_x,LeftFoot_Q_x,Head_Q_y,RightShoulder_Q_y,RightArm_Q_y,RightForeArm_Q_y,RightHand_Q_y,LeftShoulder_Q_y,LeftArm_Q_y,LeftForeArm_Q_y,LeftHand_Q_y,Hip_Q_y,Spine_Q_y,RightUpLeg_Q_y,RightLeg_Q_y,RightFoot_Q_y,LeftUpLeg_Q_y,LeftLeg_Q_y,LeftFoot_Q_y,Head_Q_z,RightShoulder_Q_z,RightArm_Q_z,RightForeArm_Q_z,RightHand_Q_z,LeftShoulder_Q_z,LeftArm_Q_z,LeftForeArm_Q_z,LeftHand_Q_z,Hip_Q_z,Spine_Q_z,RightUpLeg_Q_z,RightLeg_Q_z,RightFoot_Q_z,LeftUpLeg_Q_z,LeftLeg_Q_z,LeftFoot_Q_z
0.9964695,0.9978582,0.6601523,0.9983685,0.9543206,0.9955607,0.6318784,0.9807402,0.9298571,0.9419954,0.9997275,0.9607763,0.8854744,0.9922206,0.9944947,0.9957203,0.987792,-0.04555599,0.05055756,-0.05525046,-0.01250172,0.2750537,-0.006784594,0.08390967,-0.06655648,0.3417065,0.01089733,0.02201681,-0.2657113,0.4538801,0.1230625,-0.0727625,0.04475817,0.01921936,-0.07014806,0.01394971,-0.2086473,-0.002525479,-0.07556307,-0.01598617,0.2351977,-0.07981829,0.1306192,-0.332944,-0.007381839,-0.06809515,0.04093556,0.004655718,0.07422984,0.07988383,-0.1484863,-0.007249328,0.03909467,-0.7194531,0.05565669,0.0889264,-0.09250573,0.7337376,-0.165372,-0.03925529,0.04091673,0.002361462,0.04086079,-0.09084204,0.01822797,0.01326279,-0.01251156,-0.04300578
0.996415,0.9978836,0.6628181,0.9985353,0.9517545,0.995441,0.6257584,0.9785522,0.9300082,0.9416591,0.9997581,0.9556147,0.8965593,0.9941505,0.9951239,0.9955132,0.9876181,-0.04373224,0.05052863,-0.04490436,0.0008313953,0.2856599,-0.006232554,0.0868885,-0.08339825,0.3387481,0.01306736,0.02122111,-0.2822115,0.432607,0.1049746,-0.06588329,0.04367668,0.01182079,-0.07207372,0.013719,-0.1962325,0.003848791,-0.06514768,-0.0168229,0.2517388,-0.07358797,0.137105,-0.3338416,-0.005545868,-0.07538168,0.04839835,-0.01166313,0.07234993,0.08319823,-0.1503138,-0.007074406,0.03856174,-0.7212133,0.05396149,0.09120146,-0.09367646,0.7331469,-0.1733933,-0.03920309,0.04070838,0.001646951,0.03840313,-0.08179383,0.02256288,0.0123871,-0.01112996,-0.04332033
0.9963919,0.9978804,0.6639416,0.9985362,0.9509785,0.9954051,0.6228825,0.9774073,0.9306327,0.9414597,0.9997707,0.9532872,0.9036331,0.9950137,0.9954598,0.9954332,0.9876052,-0.04281982,0.05047262,-0.04063065,0.007103935,0.2886806,-0.005994923,0.08859025,-0.09231821,0.3359322,0.01404786,0.02084338,-0.2891763,0.4180729,0.09561668,-0.06205114,0.04254404,0.008681488,-0.07295302,0.01407853,-0.1895888,0.007855386,-0.06237898,-0.01683434,0.25944,-0.06962361,0.1400966,-0.3343955,-0.004770342,-0.07890511,0.04994103,-0.01565365,0.07120001,0.08480772,-0.1507931,-0.006897561,0.03858865,-0.7222098,0.05304043,0.09171833,-0.0940712,0.7327074,-0.1769316,-0.03801791,0.04044667,0.00117667,0.03734506,-0.07853851,0.02366891,0.01183319,-0.01050518,-0.04268646
0.9963549,0.997876,0.6650205,0.9984725,0.9497867,0.9953761,0.6205865,0.9763011,0.9316676,0.9412845,0.9997831,0.9512271,0.9116218,0.9958234,0.9957765,0.9953978,0.9876416,-0.04204794,0.05047238,-0.03754008,0.01369146,0.2929954,-0.005609775,0.09028297,-0.1011317,0.3321009,0.01505205,0.02041256,-0.2951756,0.4008266,0.08645906,-0.05812949,0.04118373,0.005653918,-0.07390871,0.01452567,-0.182611,0.01264164,-0.05941723,-0.0166933,0.2668643,-0.0651452,0.142941,-0.3348779,-0.004063671,-0.08192791,0.04903616,-0.01549035,0.07016401,0.08594123,-0.1507927,-0.006802958,0.0385376,-0.7231818,0.05201406,0.09234989,-0.09442674,0.731782,-0.1799017,-0.03567256,0.04017247,0.0007678792,0.0364172,-0.0766764,0.02491092,0.01128181,-0.0100608,-0.04235343
0.9962984,0.9978828,0.6675434,0.9980636,0.9470283,0.9953394,0.6182187,0.9745531,0.9341269,0.9407401,0.9998066,0.9483939,0.9299877,0.9970139,0.9962641,0.9954312,0.9875948,-0.04147202,0.05042256,-0.03521108,0.02901186,0.3028652,-0.005136749,0.09294253,-0.1168704,0.3234141,0.01732348,0.01946232,-0.3028254,0.3572652,0.07194489,-0.05008151,0.03806033,-0.0001467373,-0.07504414,0.01595455,-0.1674535,0.02378924,-0.05273508,-0.0154194,0.2800235,-0.05485407,0.1482782,-0.3363853,-0.002802163,-0.08708089,0.0458867,-0.007586182,0.0696207,0.08707547,-0.1516135,-0.006163286,0.03785415,-0.7246416,0.0496138,0.09289289,-0.09505454,0.7285288,-0.183245,-0.02870504,0.03940715,0.000141833,0.0355348,-0.07334093,0.02701518,0.01013164,-0.00927059,-0.04086363
0.9963288,0.9979167,0.67019,0.9971074,0.9444051,0.9952227,0.6163184,0.9741525,0.9365268,0.9401444,0.9998266,0.9466391,0.9498201,0.9973062,0.9966099,0.9954759,0.9874761,-0.04178172,0.0504798,-0.03731924,0.04717986,0.3127685,-0.004645559,0.09094949,-0.117707,0.3148518,0.01963999,0.01848445,-0.3061358,0.3015105,0.06901921,-0.04221325,0.03524735,-0.00544582,-0.07449257,0.0179429,-0.1514737,0.0358396,-0.04477332,-0.01356721,0.2802005,-0.03677424,0.1529655,-0.3379867,-0.002282379,-0.09345067,0.04362529,0.007671096,0.07014045,0.08790035,-0.1526811,-0.005833704,0.03594608,-0.725609,0.04760609,0.09094044,-0.09657257,0.7303201,-0.1892606,-0.01968126,0.0388307,-6.760657E-05,0.03771501,-0.07092242,0.02362086,0.008190278,-0.007680829,-0.0393699
0.9963917,0.9979219,0.6723828,0.9956552,0.9418281,0.9951,0.6188206,0.97347,0.938472,0.9386569,0.9998357,0.9468712,0.968311,0.9956943,0.9967558,0.9954925,0.9874972,-0.04224408,0.05087722,-0.04159835,0.06563398,0.3228779,-0.003781499,0.09025116,-0.1314567,0.3074373,0.02055273,0.01809854,-0.304741,0.237074,0.08893023,-0.03358525,0.03369683,-0.01068161,-0.07338131,0.01919592,-0.1358963,0.04715554,-0.03595101,-0.0129457,0.300342,-0.03215467,0.1570191,-0.3420175,-4.36689E-05,-0.09374391,0.03589232,0.02600998,0.07297929,0.08845474,-0.1526731,-0.005863526,0.03456755,-0.7264318,0.04625073,0.08612332,-0.09794925,0.7202156,-0.1845032,-0.009882841,0.03905106,-0.001053669,0.04218956,-0.06986803,0.002776209,0.004901831,-0.005908951,-0.03776406
0.9964969,0.9978833,0.6731388,0.9948192,0.9405023,0.9950436,0.6196885,0.9735317,0.9391165,0.9382149,0.9998435,0.9472364,0.9753514,0.9947712,0.9969012,0.995451,0.9875481,-0.04204457,0.05152516,-0.04394448,0.07415849,0.328008,-0.003268751,0.08895785,-0.1322454,0.3043519,0.02112481,0.01764335,-0.3028829,0.2068433,0.09890059,-0.02948305,0.03342681,-0.01337686,-0.0720319,0.02021665,-0.1286123,0.05223201,-0.03139739,-0.01235436,0.3035509,-0.02571681,0.1593863,-0.3432129,0.0002517527,-0.09482854,0.04114126,0.02386064,0.07285325,0.08908577,-0.152336,-0.006129932,0.03413868,-0.7269195,0.04590282,0.08294841,-0.09861518,0.7182824,-0.1846239,-0.005126614,0.03887846,-0.001248922,0.04486457,-0.0649073,-0.008916516,0.003373014,-0.004878358,-0.03692866
0.9966372,0.9978468,0.6739486,0.9939702,0.9393041,0.9949672,0.6205819,0.9735003,0.9396392,0.9377729,0.9998516,0.9478967,0.9810248,0.9939966,0.9970652,0.9953788,0.987641,-0.04134478,0.0523112,-0.04598034,0.08193335,0.3326975,-0.002568394,0.08811795,-0.1329746,0.3011613,0.02138657,0.01717493,-0.2999256,0.1785213,0.1056322,-0.02513458,0.03365722,-0.01622124,-0.07044052,0.02109906,-0.1214595,0.05669169,-0.02691325,-0.01172976,0.3060496,-0.01888503,0.1624193,-0.3444444,0.0004545735,-0.09699667,0.04834357,0.02007846,0.07229116,0.08985689,-0.1516453,-0.006554357,0.03346791,-0.7272735,0.04578527,0.0793476,-0.09947968,0.7165521,-0.1850901,-0.0001524799,0.03850772,-0.001291126,0.04613311,-0.05816798,-0.02023333,0.001808309,-0.003744757,-0.03613626
0.9970492,0.9977521,0.6758981,0.99238,0.9373102,0.994852,0.6262373,0.9741924,0.9404313,0.9371771,0.9998669,0.9504051,0.9879029,0.992685,0.9966955,0.9953957,0.9883327,-0.03769343,0.0542309,-0.0482511,0.09505759,0.3405865,-0.0006854144,0.08421479,-0.1354724,0.2939155,0.02036712,0.01624345,-0.2885303,0.132496,0.1098882,-0.02815363,0.04882966,-0.02079625,-0.0665364,0.02261042,-0.1076169,0.0634754,-0.01781236,-0.01023042,0.3109448,-0.00801767,0.1706139,-0.3462769,-3.370305E-05,-0.1087442,0.07165394,0.01434567,0.07603846,0.08232857,-0.1468745,-0.0067216,0.03222515,-0.7274972,0.04600957,0.07164667,-0.1008182,0.7099635,-0.1803665,0.009674076,0.03710303,-0.001526211,0.04068418,-0.03685744,-0.04790845,0.004868337,-0.005002474,-0.03455139
