Head_Q,RightShoulder_Q,RightArm_Q,RightForeArm_Q,RightHand_Q,LeftShoulder_Q,LeftArm_Q,LeftForeArm_Q,LeftHand_Q,Hip_Q,RightUpLeg_Q,RightLeg_Q,RightFoot_Q,LeftUpLeg_Q,LeftLeg_Q,LeftFoot_Q, ,Head_v,RightShoulder_v,RightArm_v,RightForeArm_v,RightHand_v,LeftShoulder_v,LeftArm_v,LeftForeArm_v,LeftHand_v,Hip_v,RightUpLeg_v,RightLeg_v,RightFoot_v,LeftUpLeg_v,LeftLeg_v,LeftFoot_v, ,Head_x,RightShoulder_x,RightArm_x,RightForeArm_x,RightHand_x,LeftShoulder_x,LeftArm_x,LeftForeArm_x,LeftHand_x,Hip_x,RightUpLeg_x,RightLeg_x,RightFoot_x,LeftUpLeg_x,LeftLeg_x,LeftFoot_x, ,Head_y,RightShoulder_y,RightArm_y,RightForeArm_y,RightHand_y,LeftShoulder_y,LeftArm_y,LeftForeArm_y,LeftHand_y,Hip_y,RightUpLeg_y,RightLeg_x,RightFoot_y,LeftUpLeg_y,LeftLeg_y,LeftFoot_y, ,Head_z,RightShoulder_z,RightArm_z,RightForeArm_z,RightHand_z,LeftShoulder_z,LeftArm_z,LeftForeArm_z,LeftHand_z,Hip_z,RightUpLeg_z,RightLeg_z,RightFoot_z,LeftUpLeg_z,LeftLeg_z,LeftFoot_z,,,,,RightShoulder_v,RightArm_v,RightForeArm_v,RightHand_v,LeftShoulder_v,LeftArm_v,LeftForeArm_v,LeftHand_v,,,RightShoulder_v,RightArm_v,RightForeArm_v,RightHand_v,LeftShoulder_v,LeftArm_v,LeftForeArm_v,LeftHand_v
6.97266,8.682536,81.05422,3.829173,16.47247,11.31511,74.28535,16.83399,23.0338,157.6343,12.56432,54.08461,12.49679,3.827332,12.39149,9.133463, ,0.1037679,0.4127645,0.3164139,0.5284171,0.4247723,0.1920156,0.4419327,1.107694,0.1700935,0.03747559,1.782548,0.7059746,0.4657211,0.539948,0.3677015,0.3600883, ,-6.472321,-2.302429,8.010856,1.056327,9.394606,-2.432648,-13.17172,7.359155,2.877991,-2.878082,-11.11554,53.71243,-0.6660767,-1.62207,11.37325,-7.82843, ,2.447211,2.659891,-9.401459,-3.011749,1.575474,6.236146,20.82712,15.13547,9.345155,-157.5547,-5.347107,5.991468,-12.23154,-1.740143,4.944501,-2.971405, ,-1.013214,-7.992828,-80.9314,-2.144318,13.58461,8.996754,68.25877,-0.2129517,-20.64716,-2.645874,2.99035,-1.04657,-2.407959,3.0232,0.2227489,3.862103,,,,,0.4127645,0.3164139,0.5284171,0.4247723,0.1920156,0.4419327,1.107694,0.1700935,,,0.310233173,0.275039682,0.351592423,0.302294642,0.126441297,0.348593825,0.857824968,0.140334849
6.922158,8.790414,81.43398,3.490583,16.83991,11.45641,73.83266,17.94094,23.2326,157.5933,14.26689,53.18239,12.18595,3.348423,12.04895,9.461046, ,0.05050182,0.1078777,0.3797531,0.3385894,0.367445,0.1412916,0.4526901,1.106958,0.198801,0.0410614,1.702564,0.9022179,0.3108492,0.4789097,0.3425369,0.3275833, ,-6.370758,-2.219696,8.881336,1.148649,9.883445,-2.379425,-14.01834,7.537792,2.460291,-2.791687,-12.77652,52.63819,-0.9947205,-1.021973,11.11091,-8.317749, ,2.54607,3.199132,-8.772308,-2.213959,1.963737,6.732034,21.39266,16.27496,9.571776,-157.5209,-6.015747,7.815105,-11.93958,-1.522766,4.687151,-2.791412, ,-1.077362,-7.944885,-81.32257,-2.464417,13.68106,8.826568,67.2585,-0.2389221,-20.84726,-2.476379,2.851604,-0.1194763,-2.129272,2.815459,0.2787733,3.754709,,,,,0.1078777,0.3797531,0.3385894,0.367445,0.1412916,0.4526901,1.106958,0.198801,,,0.391740887,0.31269583,0.267997815,0.297414165,0.144140228,0.419261507,0.977911429,0.177144969
6.305499,7.703771,81.75809,3.330843,17.1165,11.23571,73.3316,19.03583,23.45708,157.4189,15.83778,52.03503,11.92618,2.8597,11.80399,9.873391, ,0.6166592,1.086643,0.3241196,0.15974,0.2765923,0.2206917,0.5010605,1.094883,0.2244701,0.1743622,1.570894,1.147366,0.2597704,0.4887223,0.2449636,0.4123449, ,-6.215912,-2.020081,9.692718,1.257243,10.13025,-2.23822,-14.79382,7.699047,1.947674,-2.692474,-14.35733,51.28295,-1.389709,-0.4833069,10.93721,-8.84082, ,0.9840035,1.98382,-8.080292,-1.491943,2.31836,5.52915,22.06608,17.3995,9.83624,-157.3591,-6.553802,9.532617,-11.66693,-1.466766,4.466494,-2.786682, ,-0.4509277,-7.20047,-81.63745,-2.7164,13.82695,9.418663,66.15963,-0.3039856,-21.06635,-2.11264,2.460677,0.91326,-1.91394,2.413319,0.3559253,3.627974,,,,,1.086643,0.3241196,0.15974,0.2765923,0.2206917,0.5010605,1.094883,0.2244701,,,0.496670844,0.348968522,0.208151262,0.270335111,0.138677488,0.491674633,1.085751778,0.201848522
6.220604,7.511343,82.12764,3.349124,17.28768,11.28362,72.80354,20.10911,23.6652,157.3522,17.04623,50.60604,11.71096,2.644093,11.67603,10.29119, ,0.08489513,0.1924281,0.369545,0.01828098,0.1711731,0.04790115,0.5280609,1.073278,0.2081203,0.06669617,1.208447,1.428982,0.2152147,0.2156079,0.1279593,0.417798, ,-6.172729,-1.975677,10.54926,1.423794,10.14707,-2.124084,-15.46307,7.815279,1.365633,-2.74646,-15.58969,49.61136,-1.856476,0.158436,10.84811,-9.39975, ,0.6941452,2.104633,-7.424652,-0.8512268,2.623849,5.636753,22.82284,18.50685,10.14408,-157.2933,-6.841766,11.0712,-11.39294,-1.35849,4.343874,-2.668518, ,-0.3753967,-6.97171,-81.97583,-2.920044,14.00316,9.441879,65.00559,-0.4473877,-21.24493,-2.030975,2.316934,1.947708,-1.80481,2.261243,0.4921367,3.463185,,,,,0.1924281,0.369545,0.01828098,0.1711731,0.04790115,0.5280609,1.073278,0.2081203,,,0.381721278,0.354265867,0.136263927,0.192424993,0.086867759,0.511377122,1.055935489,0.189946033
6.167506,7.31461,82.48099,3.501108,17.38891,11.29924,72.28508,21.12806,23.82449,157.277,18.04403,48.98016,11.61253,2.550057,11.63061,10.79863, ,0.05309772,0.1967325,0.3533478,0.1519835,0.1012306,0.01562119,0.5184555,1.018951,0.1592903,0.07518005,0.9977989,1.625885,0.09842587,0.09403563,0.04541397,0.5074406, ,-6.14444,-1.893036,11.34548,1.606744,9.998203,-2.01535,-16.02139,7.820859,0.7514493,-2.819336,-16.64679,47.68882,-2.181122,0.7827257,10.81285,-9.977386, ,0.442441,2.235955,-6.78833,-0.3016663,2.890204,5.744471,23.65475,19.58567,10.48876,-157.2188,-6.968475,12.51163,-11.22672,-1.274261,4.300169,-2.766602, ,-0.3234863,-6.740143,-82.28046,-3.100494,14.20559,9.423129,63.84126,-0.6681213,-21.33954,-1.948059,2.160349,2.950877,-1.818024,2.056906,0.6936759,3.325873,,,,,0.1967325,0.3533478,0.1519835,0.1012306,0.01562119,0.5184555,1.018951,0.1592903,,,0.287756567,0.348468378,0.139989773,0.137426587,0.047178484,0.517340778,1.010430856,0.16163675
6.133258,7.131032,82.82606,3.710604,17.48412,11.32343,71.75859,22.07702,23.94332,157.216,18.87855,47.24031,11.59199,2.570236,11.6209,11.30936, ,0.03424835,0.1835785,0.3450699,0.209496,0.09521484,0.024189,0.5264893,0.9489594,0.1188316,0.06098938,0.8345242,1.739853,0.0205431,0.02017903,0.009711266,0.5107327, ,-6.122955,-1.810242,12.12441,1.752698,9.77438,-1.895996,-16.47925,7.653633,0.174311,-2.927826,-17.56671,45.58852,-2.328247,1.418171,10.82437,-10.59372, ,0.2225194,2.368062,-6.169769,0.1532097,3.127872,5.873599,24.53195,20.63639,10.85346,-157.1575,-6.961792,13.86365,-11.15244,-1.118225,4.21771,-2.714325, ,-0.2919006,-6.51651,-82.55963,-3.264893,14.44517,9.401525,62.65701,-0.9673157,-21.35696,-1.874573,2.015997,3.881866,-1.931702,1.815142,0.9492285,3.15306,,,,,0.1835785,0.3450699,0.209496,0.09521484,0.024189,0.5264893,0.9489594,0.1188316,,,0.163334413,0.309076116,0.14780786,0.100853809,0.020661569,0.459037803,0.861728114,0.120200668
6.1069,6.970076,83.14888,3.899267,17.6079,11.3363,71.26805,22.97468,24.0418,157.1661,19.58439,45.40205,11.63237,2.711327,11.63574,11.88158, ,0.02635765,0.1609554,0.3228226,0.1886635,0.1237793,0.01287079,0.4905396,0.8976669,0.09848595,0.04992676,0.7058372,1.838257,0.04037476,0.1410906,0.01483345,0.5722198, ,-6.100891,-1.73407,12.88227,1.803553,9.56056,-1.773438,-16.8736,7.31827,-0.3184509,-3.052521,-18.38852,43.32699,-2.322876,2.0509,10.87592,-11.21521, ,0.03339244,2.48604,-5.562012,0.5158069,3.33822,6.002836,25.42315,21.66931,11.18481,-157.1071,-6.812103,15.08955,-11.16064,-0.8541565,4.06995,-2.871307, ,-0.2700806,-6.315094,-82.80063,-3.410553,14.70618,9.363915,61.50187,-1.31781,-21.34448,-1.798309,1.890285,4.662881,-2.105835,1.539202,1.249864,2.979635,,,,,0.1609554,0.3228226,0.1886635,0.1237793,0.01287079,0.4905396,0.8976669,0.09848595,,,0.13429026,0.261427153,0.14204749,0.09018389,0.014687223,0.388971995,0.719208139,0.08697742
6.107413,6.958606,83.17347,3.901475,17.60875,11.3448,71.26223,22.97252,24.04344,157.1676,19.58323,45.40233,11.63122,2.710749,11.63425,11.87993, ,0.000513077,0.01147032,0.02458954,0.002207756,0.000846863,0.008502007,0.005821228,0.002161026,0.001638412,0.001464844,0.001163483,0.000282288,0.001145363,0.000577211,0.00148201,0.001649857, ,-6.101501,-1.754852,12.90373,1.804254,9.56182,-1.772766,-16.87256,7.319001,-0.3196716,-3.053192,-18.38797,43.32781,-2.321503,2.051939,10.87611,-11.21426, ,0.03215807,2.499108,-5.578339,0.5144908,3.340596,6.007229,25.42371,21.66673,11.18605,-157.1086,-6.810303,15.08786,-11.15985,-0.8497314,4.065486,-2.86792, ,-0.268158,-6.292053,-82.82486,-3.412872,14.70611,9.37146,61.49554,-1.318115,-21.34579,-1.797363,1.889301,4.663122,-2.105469,1.539555,1.24733,2.979633,,,,,0.01147032,0.02458954,0.002207756,0.000846863,0.008502007,0.005821228,0.002161026,0.001638412,,,0.09092293,0.183100391,0.096457757,0.071110404,0.011359216,0.268647114,0.496625257,0.055177897
6.078239,6.81969,83.46518,4.038521,17.75571,11.35737,70.81618,23.8312,24.13055,157.145,20.14277,43.37001,11.69381,3.024393,11.65217,12.45619, ,0.02917433,0.138916,0.2917099,0.1370459,0.1469631,0.01256943,0.4460526,0.8586807,0.08710861,0.02255249,0.5595379,2.032326,0.06258869,0.3136437,0.01791096,0.5762568, ,-6.07193,-1.680481,13.65682,1.760176,9.362378,-1.651306,-17.21909,6.836981,-0.711853,-3.201508,-19.11465,40.85175,-2.024719,2.69635,10.97555,-11.87906, ,-0.1186829,2.606509,-4.991669,0.768124,3.525613,6.144636,26.29488,22.68014,11.46913,-157.0853,-6.446899,16.02872,-11.22565,-0.4086609,3.757918,-2.849213, ,-0.2452393,-6.112885,-83.01907,-3.54129,14.98031,9.32452,60.39164,-1.692871,-21.32617,-1.720886,1.68443,5.305648,-2.390594,1.298449,1.530435,2.759618,,,,,0.138916,0.2917099,0.1370459,0.1469631,0.01256943,0.4460526,0.8586807,0.08710861,,,0.081659207,0.173344931,0.078494566,0.079644515,0.01045153,0.253319661,0.479637137,0.051836015
6.078754,6.819116,83.46518,4.039103,17.75496,11.35903,70.81686,23.82971,24.13222,157.1475,20.14019,43.36906,11.69481,3.024652,11.65244,12.45675, ,0.000515461,0.000574112,0,0.000581741,0.000753403,0.001657486,0.000686646,0.001489639,0.001665115,0.002487183,0.002578735,0.00094223,0.001005173,0.000258684,0.00026989,0.000565529, ,-6.07254,-1.680634,13.65682,1.762008,9.364228,-1.65152,-17.21786,6.836392,-0.7121582,-3.202179,-19.11124,40.84927,-2.023254,2.696092,10.97705,-11.87958, ,-0.1199036,2.607783,-4.991669,0.7698542,3.526406,6.145912,26.29716,22.67864,11.47167,-157.0877,-6.449188,16.03321,-11.22668,-0.4049072,3.755108,-2.848175, ,-0.2432861,-6.111694,-83.01907,-3.540558,14.97817,9.325705,60.3918,-1.693695,-21.32675,-1.721375,1.683645,5.308616,-2.391937,1.300336,1.52791,2.76078,,,,,0.000574112,0,0.000581741,0.000753403,0.001657486,0.000686646,0.001489639,0.001665115,,,0.076737728,0.174477471,0.060380683,0.079990597,0.015530798,0.24645913,0.469483694,0.053680631
