Head_Q,RightShoulder_Q,RightArm_Q,RightForeArm_Q,RightHand_Q,LeftShoulder_Q,LeftArm_Q,LeftForeArm_Q,LeftHand_Q,Hip_Q,RightUpLeg_Q,RightLeg_Q,RightFoot_Q,LeftUpLeg_Q,LeftLeg_Q,LeftFoot_Q, ,Head_x,RightShoulder_x,RightArm_x,RightForeArm_x,RightHand_x,LeftShoulder_x,LeftArm_x,LeftForeArm_x,LeftHand_x,Hip_x,RightUpLeg_x,RightLeg_x,RightFoot_x,LeftUpLeg_x,LeftLeg_x,LeftFoot_x, ,Head_y,RightShoulder_y,RightArm_y,RightForeArm_y,RightHand_y,LeftShoulder_y,LeftArm_y,LeftForeArm_y,LeftHand_y,Hip_y,RightUpLeg_y,RightLeg_x,RightFoot_y,LeftUpLeg_y,LeftLeg_y,LeftFoot_y, ,Head_z,RightShoulder_z,RightArm_z,RightForeArm_z,RightHand_z,LeftShoulder_z,LeftArm_z,LeftForeArm_z,LeftHand_z,Hip_z,RightUpLeg_z,RightLeg_z,RightFoot_z,LeftUpLeg_z,LeftLeg_z,LeftFoot_z
9.545561,9.7393,78.24638,10.49054,15.74565,12.88824,75.56214,11.49173,13.20638,41.48391,22.13787,44.75925,6.657569,14.34834,16.82741,9.028721, ,-5.172211,-4.390137,5.101779,-0.9527893,5.412123,-2.800079,-2.595947,-6.07016,-6.626068,-1.594025,8.319617,43.96642,0.9738793,-7.829803,16.50193,-6.353699, ,-5.944458,0.8236604,-9.910767,-10.19067,3.244378,2.912672,17.8142,9.510906,7.676081,41.39249,15.59791,9.312203,-5.145569,-9.715698,3.159746,-6.423096, ,5.669755,-8.688446,-78.0188,2.390911,14.58775,12.17017,73.29368,-2.766418,-8.932281,-2.999451,14.58484,2.558919,-4.156372,7.805411,-0.6147766,0.6059766
9.302022,8.953431,78.95612,9.285582,15.68405,12.74437,74.89997,12.11502,12.95071,40.29063,19.11053,47.21287,7.146062,12.91293,15.64139,9.092107, ,-4.724274,-3.964569,6.713556,-1.834015,4.617417,-2.339569,-6.187073,-5.945984,-6.411194,-1.227295,5.801613,46.4085,0.4549948,-6.832245,15.17322,-6.473053, ,-5.899078,0.9721766,-8.774841,-8.92569,3.397993,3.17691,18.32552,10.30085,7.834941,40.23193,14.24046,9.87735,-6.195831,-8.778046,3.687835,-6.368622, ,5.677905,-8.00415,-78.82233,1.939167,14.74274,12.05606,71.72488,-2.926788,-8.542542,-2.354187,12.13765,3.896366,-3.557983,7.121383,-0.5830688,0.9769807
9.190929,8.544104,79.26206,8.602129,15.47548,12.68738,74.57224,12.57381,12.87783,39.77409,17.49279,48.26293,7.659824,12.13158,15.05018,9.217574, ,-4.445435,-3.771393,7.422495,-1.951935,4.125684,-2.085663,-7.912323,-5.940155,-6.481079,-1.034607,4.36023,47.48321,0.08027706,-6.341339,14.48791,-6.502106, ,-5.894165,1.025371,-8.126709,-8.249634,3.297851,3.307185,18.50745,10.84488,7.885283,39.73034,13.49291,9.913389,-6.904175,-8.271667,3.99764,-6.505127, ,5.713709,-7.633179,-79.1492,1.610981,14.67089,12.01224,70.90977,-2.940979,-8.32663,-2.01532,10.80294,4.514401,-3.323486,6.698327,-0.479248,1.113545
9.081846,8.148103,79.58961,7.896873,15.18286,12.62087,74.20635,12.99201,12.90831,39.31091,15.80319,49.09851,8.176031,11.3374,14.46224,9.352509, ,-4.148407,-3.582001,8.110211,-1.899139,3.654742,-1.81073,-9.615845,-5.76593,-6.787933,-0.8122253,2.843987,48.37887,-0.3404541,-5.867676,13.80735,-6.550293, ,-5.902313,1.083775,-7.461029,-7.580811,3.102536,3.428582,18.65033,11.42574,7.931853,39.28086,12.62952,9.654778,-7.545715,-7.743073,4.243639,-6.633087, ,5.739854,-7.273132,-79.48053,1.269506,14.50979,11.95878,70.02829,-2.914764,-8.092834,-1.662354,9.404958,4.862575,-3.109375,6.266404,-0.4137878,1.251572
8.994291,7.757572,79.98017,7.19913,14.83424,12.56152,73.84535,13.35728,13.00034,38.91374,14.05913,49.74006,8.572206,10.51308,13.85449,9.515634, ,-3.858368,-3.423615,8.794627,-1.744141,3.25767,-1.529266,-11.33234,-5.408112,-7.233276,-0.5843811,1.254316,49.11789,-0.7473755,-5.403717,13.14158,-6.619415, ,-5.925568,1.18009,-6.803802,-6.930847,2.866535,3.580113,18.75043,12.01104,7.970734,38.89496,11.58584,9.069497,-7.999725,-7.180878,4.341652,-6.776459, ,5.766803,-6.897064,-79.85806,0.9802111,14.27062,11.89766,69.11837,-2.884308,-7.829407,-1.312103,8.006981,4.875663,-2.939056,5.814105,-0.3552551,1.401032
8.931879,7.367742,80.43031,6.57531,14.49092,12.52757,73.52226,13.72877,13.11448,38.55096,12.33281,50.19107,8.718194,9.726257,13.25962,9.638202, ,-3.594635,-3.285309,9.496606,-1.597137,3.001707,-1.283264,-13.01782,-4.934845,-7.701569,-0.3614502,-0.3823547,49.68454,-1.077637,-4.927673,12.50779,-6.711426, ,-5.956238,1.30778,-6.185913,-6.344971,2.653691,3.737684,18.8086,12.6127,8.004976,38.54014,10.36729,8.254517,-8.196075,-6.630951,4.356419,-6.838043, ,5.796504,-6.502502,-80.27856,0.7489213,13.99868,11.84852,68.22907,-2.883789,-7.549377,-0.9948425,6.643203,4.539717,-2.696136,5.433781,-0.3596497,1.546162
8.897163,6.997774,80.88093,6.050736,14.20565,12.54477,73.24734,14.1863,13.22609,38.20862,10.72419,50.40869,8.645281,8.98296,12.66591,9.730767, ,-3.353546,-3.166626,10.22019,-1.507629,2.909981,-1.06781,-14.62125,-4.499298,-8.118469,-0.1485596,-2.016754,50.02063,-1.323334,-4.419647,11.89397,-6.842438, ,-6.00827,1.470756,-5.612518,-5.841492,2.524758,3.926486,18.90358,13.24736,8.033956,38.20261,8.92023,7.283628,-8.165497,-6.138885,4.308411,-6.816071, ,5.823481,-6.106354,-80.68341,0.5498756,13.74019,11.83247,67.36378,-2.953156,-7.283508,-0.7279968,5.452514,3.807059,-2.423065,5.093428,-0.3677368,1.686701
8.894874,7.000907,80.88219,6.052937,14.20642,12.53902,73.24892,14.18619,13.22318,38.21342,10.71688,50.40675,8.646822,8.98732,12.67278,9.743242, ,-3.354187,-3.165894,10.22075,-1.50769,2.911478,-1.076996,-14.61664,-4.5,-8.114502,-0.1515198,-2.01178,50.01845,-1.323669,-4.4198,11.89747,-6.848602, ,-6.006012,1.466351,-5.611084,-5.843689,2.526166,3.918215,18.90148,13.24717,8.031924,38.20752,8.916843,7.285441,-8.167145,-6.148468,4.317974,-6.824677, ,5.82197,-6.111267,-80.68463,0.5509985,13.74047,11.82807,67.36783,-2.952301,-7.284607,-0.7220764,5.446147,3.807255,-2.422729,5.089529,-0.3733826,1.704557
8.873091,6.6882,81.2773,5.617911,13.98459,12.58029,73.01752,14.74939,13.31163,37.87427,9.391219,50.43468,8.454418,8.281888,12.12188,9.848517, ,-3.154022,-3.084595,10.96661,-1.503174,2.955392,-0.8979797,-16.10504,-4.198425,-8.454773,0.03500426,-3.667053,50.14113,-1.550201,-3.894562,11.33619,-7.029022, ,-6.057404,1.640592,-5.084503,-5.406799,2.481381,4.10848,19.10877,13.9179,8.039209,37.87074,7.282662,6.356544,-7.988647,-5.726196,4.253647,-6.771057, ,5.838573,-5.748474,-81.01819,0.3460628,13.50844,11.82706,66.50826,-3.080505,-7.052856,-0.5145874,4.437822,2.875335,-2.18985,4.74568,-0.3369141,1.821823
8.870795,6.693233,81.27461,5.619166,13.98627,12.57437,73.01723,14.75195,13.31128,37.87913,9.38329,50.43634,8.456272,8.286427,12.13022,9.853291, ,-3.154633,-3.083282,10.96637,-1.50592,2.95674,-0.9072571,-16.09473,-4.201782,-8.454224,0.03203787,-3.66333,50.14267,-1.550751,-3.894745,11.3417,-7.031006, ,-6.055145,1.637057,-5.084869,-5.407318,2.480329,4.100192,19.10941,13.91987,8.038988,37.87568,7.278097,6.357913,-7.989685,-5.735901,4.262104,-6.775238, ,5.837102,-5.756012,-81.0155,0.3446509,13.51005,11.82267,66.51152,-3.079407,-7.053162,-0.508606,4.432254,2.875852,-2.192413,4.741755,-0.3409424,1.825095
