Head_Q,RightShoulder_Q,RightArm_Q,RightForeArm_Q,RightHand_Q,LeftShoulder_Q,LeftArm_Q,LeftForeArm_Q,LeftHand_Q,Hip_Q,Spine_Q,RightUpLeg_Q,RightLeg_Q,RightFoot_Q,LeftUpLeg_Q,LeftLeg_Q,LeftFoot_Q, ,Head_Q_w,RightShoulder_Q_w,RightArm_Q_w,RightForeArm_Q_w,RightHand_Q_w,LeftShoulder_Q_w,LeftArm_Q_w,LeftForeArm_Q_w,LeftHand_Q_w,Hip_Q_w,Spine_Q_w,RightUpLeg_Q_w,RightLeg_Q_w,RightFoot_Q_w,LeftUpLeg_Q_w,LeftLeg_Q_w,LeftFoot_Q_w, ,Head_Q_x,RightShoulder_Q_x,RightArm_Q_x,RightForeArm_Q_x,RightHand_Q_x,LeftShoulder_Q_x,LeftArm_Q_x,LeftForeArm_Q_x,LeftHand_Q_x,Hip_Q_x,Spine_Q_x,RightUpLeg_Q_x,RightLeg_Q_x,RightFoot_Q_x,LeftUpLeg_Q_x,LeftLeg_Q_x,LeftFoot_Q_x, ,Head_Q_y,RightShoulder_Q_y,RightArm_Q_y,RightForeArm_Q_y,RightHand_Q_y,LeftShoulder_Q_y,LeftArm_Q_y,LeftForeArm_Q_y,LeftHand_Q_y,Hip_Q_y,Spine_Q_y,RightUpLeg_Q_y,RightLeg_Q_y,RightFoot_Q_y,LeftUpLeg_Q_y,LeftLeg_Q_y,LeftFoot_Q_y, ,Head_Q_z,RightShoulder_Q_z,RightArm_Q_z,RightForeArm_Q_z,RightHand_Q_z,LeftShoulder_Q_z,LeftArm_Q_z,LeftForeArm_Q_z,LeftHand_Q_z,Hip_Q_z,Spine_Q_z,RightUpLeg_Q_z,RightLeg_Q_z,RightFoot_Q_z,LeftUpLeg_Q_z,LeftLeg_Q_z,LeftFoot_Q_z, 
10.78447,4.352197,78.03273,17.25497,16.93879,1.589016,86.49911,5.49717,18.65792,152.2729,3.349825,6.893589,2.734898,18.94204,35.96105,22.71509,6.962544, ,0.9955747,0.9992788,0.7769662,0.9886845,0.9890947,0.9999039,0.7283763,0.9988496,0.9867739,0.2396107,0.9995728,0.9981911,0.9997152,0.986369,0.9511615,0.9804174,0.9981547, ,-0.07871827,0.01878703,-0.01715145,-0.0654744,0.1051054,0.01033807,0.03424744,0.04759219,0.111153,0.0117404,0.01837058,0.05984421,-0.000689745,-0.1146326,-0.2900956,0.1697851,0.01006001, ,0.05014755,-0.02444564,-0.2087256,-0.1111796,-0.07789569,-0.008624813,0.03605505,0.005877674,0.04100448,-0.9700755,0.01919576,-0.005529024,-0.01851241,0.115329,0.09735357,-0.0996449,0.01683979, ,0.01094002,-0.02216468,-0.5936859,-0.07651861,0.06765317,-0.003323514,0.6833704,0.00021873,-0.1106385,0.03744793,-0.01218159,0.001652565,-0.01504554,0.02519853,-0.04072674,0.005067757,0.05746707, 
10.66967,4.40885,77.86944,18.38993,17.13999,1.713674,86.55727,6.582571,18.89508,152.0436,3.260778,7.608009,2.785377,19.42338,35.60928,20.96068,7.012644, ,0.9956684,0.9992599,0.7778625,0.9871503,0.9888346,0.9998882,0.7280284,0.9983506,0.9864363,0.2415523,0.9995952,0.9977968,0.9997046,0.9856691,0.9521046,0.9833174,0.9981281, ,-0.07776191,0.0186617,-0.02234415,-0.06663165,0.1042295,0.01051071,0.0308008,0.05704715,0.1148061,0.01099329,0.01941288,0.06587581,0.002200068,-0.1192817,-0.2862736,0.1516062,0.01769726, ,0.04988898,-0.02445824,-0.211866,-0.1207211,-0.08030652,-0.009768791,0.02179779,0.005956963,0.0401993,-0.9696907,0.01748294,-0.007299788,-0.01929278,0.1165527,0.09887412,-0.1005019,0.01737467, ,0.01042886,-0.02308835,-0.591222,-0.08075252,0.06995219,-0.004211435,0.6845077,-0.002514739,-0.1102133,0.03509454,-0.01127056,0.002930844,-0.01462129,0.02537221,-0.0420498,0.001395277,0.05590408, 
10.52121,4.470567,77.7865,19.30345,17.29926,1.839671,86.57977,6.706091,19.01636,151.7882,3.161068,8.395187,2.798834,19.90642,35.10382,19.47231,7.209132, ,0.995788,0.9992391,0.7783172,0.9858451,0.9886265,0.9998711,0.7278938,0.9982881,0.986262,0.2437146,0.9996195,0.9973176,0.9997017,0.9849492,0.9534441,0.985597,0.9980217, ,-0.07612611,0.01879887,-0.02830922,-0.06593846,0.1033002,0.01077081,0.02984656,0.05830052,0.1176256,0.01012679,0.02008733,0.07232457,0.005543627,-0.124303,-0.2776877,0.1308898,0.02550967, ,0.05010223,-0.02440035,-0.2144407,-0.1288772,-0.08256222,-0.01083911,0.01580803,0.002350778,0.03699949,-0.9692383,0.01573365,-0.01029837,-0.01895592,0.1175718,0.1088105,-0.1070628,0.01740917, ,0.01004702,-0.02392564,-0.5894373,-0.08457102,0.07162582,-0.004923071,0.6848576,-0.004049827,-0.1099206,0.03282994,-0.01047745,0.004566934,-0.01436709,0.02450878,-0.04465697,-0.00202183,0.05476244, 
10.2146,4.545762,77.71236,20.10508,17.42935,1.96476,86.60973,6.872084,19.11197,151.4811,3.05555,9.299073,3.003356,20.28518,34.51824,18.04407,7.351672, ,0.9960297,0.9992133,0.7787232,0.9846481,0.9884551,0.999853,0.7277145,0.9982023,0.9861239,0.2463135,0.9996445,0.9967092,0.9996566,0.9843726,0.9549727,0.9876281,0.9979427, ,-0.07324339,0.01916128,-0.03408745,-0.06563826,0.1031861,0.01111131,0.02867867,0.05967746,0.1199728,0.008930836,0.02053303,0.07975016,0.008857892,-0.1292158,-0.2703491,0.1148588,0.03034023, ,0.04953536,-0.02435255,-0.2165563,-0.135561,-0.08454461,-0.01185074,0.009899778,-0.000679225,0.03358677,-0.9686751,0.01381798,-0.01304889,-0.0198037,0.1174163,0.1132682,-0.1066193,0.01690753, ,0.01031713,-0.02475171,-0.5878195,-0.08822109,0.07184239,-0.005489057,0.6852089,-0.005511504,-0.1097191,0.03030498,-0.00991993,0.006364294,-0.01470389,0.02296501,-0.04592059,-0.005532393,0.05388745, 
10.09443,4.579051,77.68156,20.51229,17.43899,2.028657,86.65868,6.87869,19.23525,151.3232,2.988986,9.731412,3.172192,20.44474,34.22628,17.45192,7.406546, ,0.9961225,0.9992017,0.7788918,0.9840216,0.9884424,0.9998433,0.7274215,0.9981989,0.9859447,0.2476482,0.9996598,0.9963962,0.9996169,0.9841264,0.9557256,0.9884253,0.9979119, ,-0.07195982,0.01933704,-0.03637343,-0.06637214,0.1032089,0.01113685,0.02812698,0.05961143,0.1215279,0.008345236,0.02050952,0.08334711,0.01059276,-0.131542,-0.266792,0.1080641,0.03154814, ,0.04958413,-0.02448403,-0.2175717,-0.138661,-0.08510689,-0.01245223,0.007091161,-0.002839431,0.03278027,-0.9683703,0.0128601,-0.01396309,-0.02086333,0.1171331,0.115216,-0.1062136,0.01671932, ,0.01015273,-0.02495061,-0.5870836,-0.08982973,0.07131979,-0.005859726,0.6855775,-0.006121788,-0.1098618,0.02931985,-0.009710526,0.007266144,-0.01478885,0.02172313,-0.04621673,-0.007507231,0.05382366, 
9.924612,4.615834,77.65546,20.88402,17.44435,2.08723,86.68477,6.898926,19.34808,151.0313,2.897498,10.2392,3.374505,20.55563,33.80578,16.91053,7.40041, ,0.9962518,0.9991888,0.7790346,0.9834388,0.9884353,0.9998341,0.7272652,0.9981883,0.9857797,0.2501156,0.9996803,0.9960106,0.9995664,0.9839542,0.9567989,0.989131,0.9979154, ,-0.07028569,0.0194513,-0.03844522,-0.06723052,0.1031857,0.01118775,0.02733562,0.05959434,0.1228699,0.008144682,0.02070729,0.08741529,0.01232705,-0.1334406,-0.2628816,0.102345,0.03284606, ,0.04933862,-0.02462564,-0.2184823,-0.1412871,-0.08561423,-0.01304874,0.004372603,-0.004949138,0.03211238,-0.9677823,0.01124795,-0.01564746,-0.02232144,0.1167029,0.1153331,-0.1051674,0.01634957, ,0.01038677,-0.02523587,-0.5864236,-0.09146684,0.07084204,-0.006033017,0.685798,-0.006655966,-0.110046,0.02780707,-0.009162339,0.008751834,-0.01472214,0.020203,-0.04612328,-0.009234288,0.05309153, 
9.581449,4.664762,77.64611,21.51181,17.42218,2.186855,86.71693,6.92996,19.50524,150.7178,2.696563,10.95086,3.870451,20.64353,33.16163,15.967,7.306468, ,0.9965064,0.9991716,0.7790858,0.9824312,0.9884646,0.9998179,0.7270725,0.9981719,0.9855483,0.2527633,0.9997231,0.9954372,0.9994296,0.983817,0.9584182,0.9903081,0.997968, ,-0.06668834,0.01964465,-0.04195353,-0.06929813,0.1032077,0.01136336,0.02580043,0.05932591,0.124701,0.007158409,0.01966898,0.09342263,0.01623473,-0.1364187,-0.2568693,0.0940406,0.03645163, ,0.04907093,-0.02467739,-0.2200619,-0.1457692,-0.08597723,-0.01406452,-0.000474768,-0.008825154,0.03102899,-0.9671225,0.009320918,-0.01617343,-0.02573941,0.1150367,0.1156538,-0.101451,0.01455604, ,0.01094502,-0.02571494,-0.5855237,-0.09369145,0.06995599,-0.006101687,0.6860755,-0.007443991,-0.1103695,0.02708429,-0.008940171,0.01074487,-0.01463944,0.01614362,-0.0455736,-0.01240959,0.05019417, 
9.256847,4.719656,77.65273,21.95877,17.53886,2.287273,86.83862,6.985565,19.54729,150.3817,2.468643,11.64241,4.36154,20.48185,32.2435,15.13387,7.081105, ,0.996739,0.9991519,0.7790495,0.9816958,0.9883099,0.9998008,0.7263431,0.9981425,0.9854861,0.2556005,0.999768,0.9948432,0.9992757,0.9840689,0.9606738,0.9912917,0.9980913, ,-0.06315923,0.01997854,-0.04454667,-0.0710013,0.1036757,0.01166167,0.02449154,0.05912377,0.1256878,0.006056237,0.01818762,0.09899105,0.0206246,-0.1373568,-0.2501437,0.08872603,0.03995925, ,0.0488875,-0.02463435,-0.2212826,-0.1486569,-0.0865011,-0.01491327,-0.004365236,-0.0120852,0.02986368,-0.9663913,0.007274145,-0.01787484,-0.02821136,0.112255,0.1124979,-0.09604353,0.01065103, ,0.0115075,-0.0262568,-0.5849202,-0.09556854,0.07079867,-0.006322982,0.686882,-0.008361585,-0.1101271,0.02682412,-0.008965775,0.01296994,-0.01505947,0.01185105,-0.04333755,-0.01562607,0.04586425, 
8.967247,4.766861,77.66245,22.20376,17.71091,2.381824,87.03309,6.988367,19.56338,150.0793,2.275953,12.38472,4.793395,20.14128,31.01431,14.60523,6.838153, ,0.9969397,0.9991349,0.7789964,0.9812863,0.9880798,0.999784,0.7251756,0.998141,0.9854622,0.2581504,0.9998028,0.9941654,0.9991252,0.9845929,0.9635971,0.9918886,0.99822, ,-0.05996285,0.02002395,-0.04593565,-0.07222389,0.1045824,0.01188845,0.02373086,0.0584166,0.1268381,0.004765438,0.01674965,0.1047433,0.02559081,-0.1368753,-0.241878,0.08662312,0.04235689, ,0.04868105,-0.02464262,-0.2220019,-0.1502957,-0.08709639,-0.01572774,-0.006986407,-0.01465298,0.02885396,-0.9657313,0.005463171,-0.02093863,-0.02923422,0.1085647,0.106997,-0.0910629,0.008200833, ,0.01207828,-0.0268562,-0.5846107,-0.09629167,0.07193737,-0.006579057,0.6881195,-0.009350394,-0.1092872,0.02643291,-0.00916755,0.01502192,-0.01546629,0.007458702,-0.03908186,-0.0189978,0.04117593, 
8.829809,4.799597,77.65583,22.25188,17.76722,2.41835,87.11973,6.965131,19.58242,149.9691,2.184706,12.75132,5.037877,19.93469,30.29897,14.3726,6.680116, ,0.9970328,0.999123,0.7790326,0.9812054,0.9880041,0.9997773,0.7246548,0.9981533,0.985434,0.2590797,0.9998183,0.9938152,0.9990337,0.9849066,0.9652473,0.9921446,0.9983013, ,-0.05841807,0.02018091,-0.04651919,-0.072557,0.1050531,0.01208035,0.02356295,0.05787513,0.1275898,0.004117092,0.01593759,0.1075655,0.02838051,-0.1360884,-0.2372431,0.08629361,0.0427741, ,0.04858966,-0.02467032,-0.2221444,-0.1507364,-0.08717065,-0.0160344,-0.007788889,-0.01567259,0.02856019,-0.9654902,0.00475649,-0.02258434,-0.02978311,0.106826,0.1033838,-0.08821621,0.008449517, ,0.01233455,-0.02715431,-0.5844623,-0.09617694,0.0722017,-0.006503928,0.6886651,-0.009735263,-0.1087431,0.0262579,-0.009316086,0.01584193,-0.01546255,0.005226741,-0.03640392,-0.02050277,0.03864599, 
